index,nct_id,category_age
0,NCT00001159,[0-17]
0,NCT00001159,[18-65]
0,NCT00001159,[65 and more]
12,NCT00209235,[0-17]
12,NCT00209235,[18-65]
12,NCT00209235,[65 and more]
15,NCT00381641,[18-65]
15,NCT00381641,[65 and more]
17,NCT00390325,[18-65]
17,NCT00390325,[65 and more]
19,NCT00415233,[0-17]
19,NCT00415233,[18-65]
19,NCT00415233,[65 and more]
22,NCT00556530,[0-17]
22,NCT00556530,[18-65]
22,NCT00556530,[65 and more]
26,NCT00768820,[0-17]
26,NCT00768820,[18-65]
26,NCT00768820,[65 and more]
29,NCT01005654,[0-17]
29,NCT01005654,[18-65]
29,NCT01005654,[65 and more]
35,NCT01109420,[0-17]
35,NCT01109420,[18-65]
35,NCT01109420,[65 and more]
46,NCT01539486,[18-65]
46,NCT01539486,[65 and more]
48,NCT01611896,[18-65]
48,NCT01611896,[65 and more]
49,NCT01638533,[18-65]
49,NCT01638533,[65 and more]
51,NCT01704586,[18-65]
51,NCT01704586,[65 and more]
59,NCT01821781,[0-17]
59,NCT01821781,[18-65]
61,NCT01837745,[18-65]
61,NCT01837745,[65 and more]
72,NCT02041260,[18-65]
72,NCT02041260,[65 and more]
73,NCT02061111,[18-65]
75,NCT02143726,[18-65]
75,NCT02143726,[65 and more]
79,NCT02147782,[18-65]
83,NCT02152995,[18-65]
83,NCT02152995,[65 and more]
90,NCT02203682,[18-65]
90,NCT02203682,[65 and more]
94,NCT02210741,[18-65]
94,NCT02210741,[65 and more]
98,NCT02378298,[18-65]
98,NCT02378298,[65 and more]
103,NCT02393690,[18-65]
103,NCT02393690,[65 and more]
106,NCT02430584,[18-65]
106,NCT02430584,[65 and more]
107,NCT02432274,[0-17]
107,NCT02432274,[18-65]
110,NCT02440581,[18-65]
110,NCT02440581,[65 and more]
116,NCT02609685,[18-65]
116,NCT02609685,[65 and more]
119,NCT02681328,[18-65]
119,NCT02681328,[65 and more]
124,NCT02725879,[0-17]
124,NCT02725879,[18-65]
129,NCT02839655,[18-65]
129,NCT02839655,[65 and more]
132,NCT02859896,[0-17]
132,NCT02859896,[18-65]
141,NCT02973997,[18-65]
141,NCT02973997,[65 and more]
142,NCT03012620,[0-17]
142,NCT03012620,[18-65]
142,NCT03012620,[65 and more]
144,NCT03013257,[18-65]
144,NCT03013257,[65 and more]
151,NCT03051126,[0-17]
151,NCT03051126,[18-65]
151,NCT03051126,[65 and more]
158,NCT03093909,[0-17]
158,NCT03093909,[18-65]
159,NCT03098225,[18-65]
159,NCT03098225,[65 and more]
164,NCT03105648,[18-65]
164,NCT03105648,[65 and more]
165,NCT03109847,[18-65]
165,NCT03109847,[65 and more]
167,NCT03122496,[18-65]
