index,nct_id,location,continent,iso
0,NCT00001159,United States,North America,USA
12,NCT00209235,United States,North America,USA
15,NCT00381641,United States,North America,USA
17,NCT00390325,United States,North America,USA
19,NCT00415233,United Kingdom,Europe,GBR
22,NCT00556530,United States,North America,USA
26,NCT00768820,Israel,Middle East,ISR
29,NCT01005654,United States,North America,USA
35,NCT01109420,United States,North America,USA
46,NCT01539486,United States,North America,USA
48,NCT01611896,Denmark,Europe,DNK
49,NCT01638533,Canada,North America,CAN
49,NCT01638533,United States,North America,USA
51,NCT01704586,Germany,Europe,DEU
59,NCT01821781,United States,North America,USA
61,NCT01837745,France,Europe,FRA
72,NCT02041260,United States,North America,USA
73,NCT02061111,Denmark,Europe,DNK
75,NCT02143726,United States,North America,USA
79,NCT02147782,China,East Asia,CHN
83,NCT02152995,United States,North America,USA
90,NCT02203682,China,East Asia,CHN
94,NCT02210741,Taiwan,East Asia,TWN
98,NCT02378298,Sweden,Europe,SWE
103,NCT02393690,United States,North America,USA
106,NCT02430584,United States,North America,USA
107,NCT02432274,France,Europe,FRA
107,NCT02432274,Germany,Europe,DEU
107,NCT02432274,Italy,Europe,ITA
107,NCT02432274,Spain,Europe,ESP
107,NCT02432274,United Kingdom,Europe,GBR
107,NCT02432274,United States,North America,USA
110,NCT02440581,United States,North America,USA
116,NCT02609685,United States,North America,USA
119,NCT02681328,United States,North America,USA
124,NCT02725879,Greece,Europe,GRC
129,NCT02839655,France,Europe,FRA
132,NCT02859896,Chile,South America,CHL
132,NCT02859896,United States,North America,USA
141,NCT02973997,United States,North America,USA
142,NCT03012620,France,Europe,FRA
144,NCT03013257,Hong Kong,East Asia,HKG
151,NCT03051126,United States,North America,USA
158,NCT03093909,United States,North America,USA
164,NCT03105648,Taiwan,East Asia,TWN
165,NCT03109847,United States,North America,USA
167,NCT03122496,United States,North America,USA
169,NCT03122847,Denmark,Europe,DNK
173,NCT03131726,Sweden,Europe,SWE
178,NCT03162627,United States,North America,USA
184,NCT03244956,France,Europe,FRA
187,NCT03249012,Canada,North America,CAN
189,NCT03271892,Canada,North America,CAN
190,NCT03274258,United States,North America,USA
194,NCT03285854,United Kingdom,Europe,GBR
196,NCT03300284,United States,North America,USA
198,NCT03309384,France,Europe,FRA
206,NCT03375359,Germany,Europe,DEU
209,NCT03382158,United States,North America,USA
211,NCT03395925,Germany,Europe,DEU
212,NCT03420963,United States,North America,USA
214,NCT03435952,United States,North America,USA
216,NCT03440697,United States,North America,USA
225,NCT03498183,France,Europe,FRA
227,NCT03515863,China,East Asia,CHN
233,NCT03517579,United States,North America,USA
240,NCT03574051,China,East Asia,CHN
243,NCT03602261,United States,North America,USA
254,NCT03643081,France,Europe,FRA
255,NCT03646383,France,Europe,FRA
263,NCT03676647,United States,North America,USA
266,NCT03708627,United States,North America,USA
275,NCT03724188,Egypt,Africa,EGY
276,NCT03732495,France,Europe,FRA
278,NCT03753919,Spain,Europe,ESP
283,NCT03808779,China,East Asia,CHN
283,NCT03808779,Ukraine,Europe,UKR
294,NCT03830242,China,East Asia,CHN
299,NCT03866382,Puerto Rico,Central America,PRI
299,NCT03866382,United States,North America,USA
302,NCT03872284,France,Europe,FRA
304,NCT03878953,Japan,East Asia,JPN
308,NCT03896958,United States,North America,USA
312,NCT03924804,China,East Asia,CHN
324,NCT03960437,United States,North America,USA
327,NCT03960554,United States,North America,USA
336,NCT03980132,Spain,Europe,ESP
339,NCT03986593,Brazil,South America,BRA
346,NCT04009863,Hong Kong,East Asia,HKG
353,NCT04019379,United States,North America,USA
355,NCT04028479,United States,North America,USA
357,NCT04031638,France,Europe,FRA
359,NCT04040946,France,Europe,FRA
363,NCT04046354,China,East Asia,CHN
370,NCT04064827,Puerto Rico,Central America,PRI
370,NCT04064827,United States,North America,USA
373,NCT04075851,China,East Asia,CHN
377,NCT04080505,United States,North America,USA
384,NCT04129281,Italy,Europe,ITA
388,NCT04135573,China,East Asia,CHN
394,NCT04171622,United States,North America,USA
396,NCT04193332,Denmark,Europe,DNK
400,NCT04216732,United States,North America,USA
409,NCT04239521,United Kingdom,Europe,GBR
416,NCT04281875,United States,North America,USA
417,NCT04284774,Puerto Rico,Central America,PRI
417,NCT04284774,United States,North America,USA
419,NCT04288115,United States,North America,USA
420,NCT04288531,Portugal,Europe,PRT
422,NCT04298684,France,Europe,FRA
422,NCT04298684,Guadeloupe,Central America,GLP
422,NCT04298684,Réunion,Africa,REU
433,NCT04311606,United States,North America,USA
441,NCT04329455,Egypt,Africa,EGY
443,NCT04333342,"Korea, Republic of",East Asia,KOR
448,NCT04339205,France,Europe,FRA
453,NCT04359979,Israel,Middle East,ISR
457,NCT04373226,France,Europe,FRA
459,NCT04383795,"Korea, Republic of",East Asia,KOR
468,NCT04396912,Turkey,Middle East,TUR
471,NCT04410601,Turkey,Middle East,TUR
475,NCT04412694,Poland,Europe,POL
479,NCT04424485,Turkey,Middle East,TUR
482,NCT04458233,Israel,Middle East,ISR
487,NCT04463316,Netherlands,Europe,NLD
489,NCT04463719,United States,North America,USA
490,NCT04467021,United States,North America,USA
492,NCT04472026,United States,North America,USA
494,NCT04477798,China,East Asia,CHN
497,NCT04509011,Austria,Europe,AUT
497,NCT04509011,Norway,Europe,NOR
497,NCT04509011,Poland,Europe,POL
497,NCT04509011,Sweden,Europe,SWE
498,NCT04514484,United States,North America,USA
503,NCT04522622,Denmark,Europe,DNK
511,NCT04548284,China,East Asia,CHN
520,NCT04560127,China,East Asia,CHN
525,NCT04564924,China,East Asia,CHN
529,NCT04574947,Russian Federation,North Asia,RUS
539,NCT04583735,United States,North America,USA
545,NCT04598815,Italy,Europe,ITA
553,NCT04614389,United States,North America,USA
558,NCT04632524,Egypt,Africa,EGY
560,NCT04639388,France,Europe,FRA
562,NCT04639960,Switzerland,Europe,CHE
566,NCT04647500,Switzerland,Europe,CHE
567,NCT04662190,Spain,Europe,ESP
571,NCT04663451,Belgium,Europe,BEL
575,NCT04666103,China,East Asia,CHN
578,NCT04671719,France,Europe,FRA
585,NCT04680650,China,East Asia,CHN
586,NCT04683575,China,East Asia,CHN
594,NCT04704414,Switzerland,Europe,CHE
599,NCT04708626,Sweden,Europe,SWE
604,NCT04714918,China,East Asia,CHN
606,NCT04730726,Netherlands,Europe,NLD
612,NCT04737330,Germany,Europe,DEU
630,NCT04776993,Italy,Europe,ITA
639,NCT04782856,United States,North America,USA
642,NCT04785443,France,Europe,FRA
653,NCT04809454,Pakistan,South Asia,PAK
657,NCT04823728,France,Europe,FRA
659,NCT04842994,India,South Asia,IND
663,NCT04846010,United States,North America,USA
666,NCT04856488,Sweden,Europe,SWE
677,NCT04876534,Italy,Europe,ITA
680,NCT04877613,United States,North America,USA
683,NCT04879173,"Korea, Republic of",East Asia,KOR
689,NCT04895631,United States,North America,USA
694,NCT04919694,China,East Asia,CHN
702,NCT04922892,China,East Asia,CHN
703,NCT04927416,United States,North America,USA
711,NCT04932135,Switzerland,Europe,CHE
719,NCT04942769,China,East Asia,CHN
730,NCT04953195,China,East Asia,CHN
732,NCT04969926,United States,North America,USA
744,NCT04988802,Croatia,Europe,HRV
749,NCT05002998,United States,North America,USA
755,NCT05007093,China,East Asia,CHN
757,NCT05012033,United Kingdom,Europe,GBR
762,NCT05015127,China,East Asia,CHN
768,NCT05017142,Switzerland,Europe,CHE
769,NCT05019118,Spain,Europe,ESP
781,NCT05043233,China,East Asia,CHN
786,NCT05049603,Italy,Europe,ITA
790,NCT05059470,United States,North America,USA
791,NCT05068687,Belgium,Europe,BEL
799,NCT05098600,Czechia,Europe,CZE
805,NCT05108298,United States,North America,USA
806,NCT05110040,China,East Asia,CHN
810,NCT05112211,China,East Asia,CHN
817,NCT05117853,Belgium,Europe,BEL
819,NCT05119296,United States,North America,USA
822,NCT05126147,Taiwan,East Asia,TWN
825,NCT05126706,"Korea, Republic of",East Asia,KOR
827,NCT05130476,Denmark,Europe,DNK
832,NCT05142904,Netherlands,Europe,NLD
837,NCT05149898,Australia,Pacifica,AUS
837,NCT05149898,United States,North America,USA
845,NCT05176639,United States,North America,USA
854,NCT05189314,United States,North America,USA
856,NCT05189808,United States,North America,USA
858,NCT05189821,United States,North America,USA
862,NCT05199103,Poland,Europe,POL
867,NCT05214274,China,East Asia,CHN
869,NCT05216718,"Korea, Republic of",East Asia,KOR
876,NCT05225883,France,Europe,FRA
879,NCT05229341,United States,North America,USA
882,NCT05239221,Hungary,Europe,HUN
882,NCT05239221,Netherlands,Europe,NLD
901,NCT05264857,United States,North America,USA
915,NCT05280600,United Kingdom,Europe,GBR
918,NCT05290493,Canada,North America,CAN
918,NCT05290493,United States,North America,USA
919,NCT05299437,Italy,Europe,ITA
920,NCT05299632,United States,North America,USA
923,NCT02378233,Sweden,Europe,SWE
924,NCT02742597,Canada,North America,CAN
925,NCT02789800,Canada,North America,CAN
927,NCT02966405,China,East Asia,CHN
928,NCT03149354,France,Europe,FRA
932,NCT03922087,China,East Asia,CHN
933,NCT03932487,China,East Asia,CHN
934,NCT04019509,Belgium,Europe,BEL
936,NCT04208503,Poland,Europe,POL
940,NCT04388956,Taiwan,East Asia,TWN
944,NCT04571736,France,Europe,FRA
945,NCT04585126,France,Europe,FRA
946,NCT04615988,United States,North America,USA
947,NCT04658524,Brazil,South America,BRA
