index,nct_id,intervention_types
12,NCT00209235,Behavioral
15,NCT00381641,Other
15,NCT00381641,Drug
17,NCT00390325,Drug
19,NCT00415233,Biological
19,NCT00415233,Radiation
26,NCT00768820,Drug
48,NCT01611896,Dietary Supplement
48,NCT01611896,Other
49,NCT01638533,Other
49,NCT01638533,Drug
51,NCT01704586,Radiation
59,NCT01821781,Drug
61,NCT01837745,Drug
61,NCT01837745,Other
72,NCT02041260,Drug
75,NCT02143726,Drug
83,NCT02152995,Procedure
83,NCT02152995,Other
83,NCT02152995,Radiation
83,NCT02152995,Drug
90,NCT02203682,Drug
98,NCT02378298,Drug
103,NCT02393690,Radiation
103,NCT02393690,Other
103,NCT02393690,Drug
106,NCT02430584,Other
107,NCT02432274,Drug
110,NCT02440581,Drug
116,NCT02609685,Other
119,NCT02681328,Other
124,NCT02725879,Other
129,NCT02839655,Device
132,NCT02859896,Drug
141,NCT02973997,Other
141,NCT02973997,Drug
141,NCT02973997,Biological
142,NCT03012620,Drug
144,NCT03013257,Device
151,NCT03051126,Other
158,NCT03093909,Drug
159,NCT03098225,Radiation
159,NCT03098225,Drug
164,NCT03105648,Other
165,NCT03109847,Drug
165,NCT03109847,Other
167,NCT03122496,Drug
167,NCT03122496,Radiation
169,NCT03122847,Drug
173,NCT03131726,Drug
178,NCT03162627,Drug
184,NCT03244956,Drug
184,NCT03244956,Radiation
187,NCT03249012,Other
190,NCT03274258,Biological
194,NCT03285854,Diagnostic Test
196,NCT03300284,Behavioral
206,NCT03375359,Diagnostic Test
211,NCT03395925,Device
212,NCT03420963,Biological
212,NCT03420963,Drug
214,NCT03435952,Drug
214,NCT03435952,Biological
225,NCT03498183,Drug
227,NCT03515863,Genetic
227,NCT03515863,Device
227,NCT03515863,Other
233,NCT03517579,Device
240,NCT03574051,Drug
243,NCT03602261,Drug
254,NCT03643081,Device
255,NCT03646383,Procedure
263,NCT03676647,Other
266,NCT03708627,Drug
273,NCT03718403,Drug
275,NCT03724188,Procedure
276,NCT03732495,Drug
278,NCT03753919,Drug
283,NCT03808779,Procedure
285,NCT03813173,Procedure
287,NCT03813706,Procedure
294,NCT03830242,Diagnostic Test
299,NCT03866382,Drug
299,NCT03866382,Biological
302,NCT03872284,Other
304,NCT03878953,Drug
312,NCT03924804,Drug
324,NCT03960437,Drug
327,NCT03960554,Drug
327,NCT03960554,Other
336,NCT03980132,Drug
339,NCT03986593,Device
346,NCT04009863,Device
346,NCT04009863,Radiation
347,NCT04013100,Diagnostic Test
353,NCT04019379,Other
355,NCT04028479,Diagnostic Test
355,NCT04028479,Drug
355,NCT04028479,Other
357,NCT04031638,Other
359,NCT04040946,Diagnostic Test
363,NCT04046354,Device
370,NCT04064827,Drug
377,NCT04080505,Drug
384,NCT04129281,Procedure
394,NCT04171622,Drug
394,NCT04171622,Biological
396,NCT04193332,Device
400,NCT04216732,Other
402,NCT04233398,Device
409,NCT04239521,Other
416,NCT04281875,Device
417,NCT04284774,Drug
419,NCT04288115,Drug
419,NCT04288115,Other
