index,nct_id,investigators
0,NCT00001159,"National Institutes of Health Clinical Center, 9000 Rockville Pike"
12,NCT00209235,Connecticut Children's Medical Center
15,NCT00381641,University of Chicago Comprehensive Cancer Center
15,NCT00381641,Decatur Memorial Hospital
15,NCT00381641,NorthShore University HealthSystem-Evanston Hospital
15,NCT00381641,Ingalls Memorial Hospital
15,NCT00381641,Duly Health and Care Joliet
15,NCT00381641,Loyola University Medical Center
15,NCT00381641,Illinois CancerCare-Peoria
15,NCT00381641,Central Illinois Hematology Oncology Center
15,NCT00381641,Southern Illinois University School of Medicine
15,NCT00381641,Fort Wayne Medical Oncology and Hematology Inc-Parkview
15,NCT00381641,Northern Indiana Cancer Research Consortium
15,NCT00381641,University of Maryland/Greenebaum Cancer Center
15,NCT00381641,University of Michigan Comprehensive Cancer Center
15,NCT00381641,Oncology Care Associates PLLC
15,NCT00381641,Mercy Hospital Saint Louis
15,NCT00381641,M D Anderson Cancer Center
15,NCT00381641,Medical College of Wisconsin
17,NCT00390325,Washington University School of Medicine
17,NCT00390325,Duke University Medical Center
17,NCT00390325,Ohio State University Comprehensive Cancer Center
19,NCT00415233,Sussex Cancer Centre at Royal Sussex County Hospital
19,NCT00415233,Addenbrooke's Hospital
19,NCT00415233,Kent and Canterbury Hospital
19,NCT00415233,Castle Hill Hospital
19,NCT00415233,Derbyshire Royal Infirmary
19,NCT00415233,Royal Devon and Exeter Hospital
19,NCT00415233,Gloucestershire Royal Hospital
19,NCT00415233,St. Luke's Cancer Centre at Royal Surrey County Hospital
19,NCT00415233,Ipswich Hospital
19,NCT00415233,Leeds Cancer Centre at St. James's University Hospital
19,NCT00415233,Leicester Royal Infirmary
19,NCT00415233,Guy's Hospital
19,NCT00415233,Royal Marsden - London
19,NCT00415233,Maidstone Hospital
19,NCT00415233,Christie Hospital
19,NCT00415233,James Cook University Hospital
19,NCT00415233,Newcastle Upon Tyne Hospitals NHS Trust
19,NCT00415233,Northampton General Hospital
19,NCT00415233,Mount Vernon Cancer Centre at Mount Vernon Hospital
19,NCT00415233,Norfolk and Norwich University Hospital
19,NCT00415233,Dorset Cancer Centre
19,NCT00415233,Cancer Research Centre at Weston Park Hospital
19,NCT00415233,University Hospital of North Staffordshire
19,NCT00415233,Velindre Cancer Center at Velindre Hospital
19,NCT00415233,Glan Clwyd Hospital
22,NCT00556530,Albert Einstein College of Medicine
22,NCT00556530,Children's Hospital of Philadelphia
26,NCT00768820,Schneider Children's Mediac Center of Israel
29,NCT01005654,"National Institutes of Health Clinical Center, 9000 Rockville Pike"
35,NCT01109420,"National Institutes of Health Clinical Center, 9000 Rockville Pike"
46,NCT01539486,University of Arkansas for Medical Sciences
48,NCT01611896,"Department of Endocrinology and Gastroenterology, Bispebjerg Hospital"
48,NCT01611896,"Department of Medical Endocrinology, Rigshospitalet"
48,NCT01611896,"Department of Endocrinology, Hospital of Southwest Denmark"
