id,nct_id,agency_class,lead_or_collaborator,name,new_class
5601805,NCT04680650,OTHER,lead,Affiliated Cancer Hospital & Institute of Guangzhou Medical University,Health care Institution
5599008,NCT04712760,OTHER,lead,"Central Hospital, Nancy, France",Health care Institution
5600006,NCT04701203,INDUSTRY,lead,Ascendis Pharma Bone Diseases A/S,Other
5600732,NCT04693936,OTHER,lead,University of Crete,University
5599771,NCT04704414,OTHER,lead,University of Zurich,University
5602302,NCT04675710,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
5603100,NCT04666103,OTHER,lead,Wuhan University,University
5602594,NCT04671719,OTHER,lead,Hospices Civils de Lyon,Health care Institution
5603314,NCT04663451,OTHER,lead,Universitair Ziekenhuis Brussel,Health care Institution
5603203,NCT04664413,OTHER,lead,University of Salerno,University
5603702,NCT04658524,OTHER,lead,Rio de Janeiro State University,University
5605181,NCT04639960,OTHER,lead,"University of Geneva, Switzerland",University
5607411,NCT04612894,OTHER,lead,Fudan University,University
5606438,NCT04624477,OTHER,lead,"University Health Network, Toronto",University
5606439,NCT04624477,OTHER,collaborator,University of British Columbia,University
5606440,NCT04624477,OTHER,collaborator,University of Calgary,University
5606441,NCT04624477,OTHER,collaborator,Lawson Health Research Institute,Other
5606931,NCT04619316,OTHER,lead,"University Hospital, Essen",Health care Institution
5607219,NCT04615988,OTHER,lead,Icahn School of Medicine at Mount Sinai,Other
5605836,NCT04632524,OTHER,lead,Fayoum University Hospital,Health care Institution
5606442,NCT04624477,OTHER,collaborator,Ottawa Hospital Research Institute,Health care Institution
5606443,NCT04624477,OTHER,collaborator,McMaster University,University
5606444,NCT04624477,OTHER,collaborator,CHU de Quebec-Universite Laval,Health care Institution
5606445,NCT04624477,OTHER,collaborator,Centre hospitalier de l'Université de Montréal (CHUM),Health care Institution
5606446,NCT04624477,OTHER,collaborator,Dalhousie University,University
5606447,NCT04624477,OTHER_GOV,collaborator,Canadian Institutes of Health Research (CIHR),Other
5606448,NCT04624477,OTHER,collaborator,Canadian Cancer Society (CCS),Other
5607285,NCT04614389,OTHER,lead,University of Southern California,University
5607286,NCT04614389,INDUSTRY,collaborator,Siemens Medical Solutions USA - CSG,Other
5607414,NCT04613323,OTHER,lead,Centro Diagnostico Priamar,Other
5609368,NCT04589884,OTHER,lead,IHU Strasbourg,Other
5697585,NCT04321954,OTHER,lead,Massachusetts Eye and Ear Infirmary,Health care Institution
5697586,NCT04321954,INDUSTRY,collaborator,Eisai Inc.,Industry
5697587,NCT04320901,OTHER,lead,Inha University Hospital,Health care Institution
5697641,NCT04064827,INDUSTRY,lead,AbbVie,Other
5697714,NCT03753919,OTHER,lead,Grupo Espanol de Tumores Neuroendocrinos,Other
5697715,NCT03753919,OTHER,collaborator,MFAR,Other
5609369,NCT04589884,OTHER,collaborator,ARC Foundation for Cancer Research,Other
5609826,NCT04585126,OTHER,lead,"University Hospital, Caen",Health care Institution
5609827,NCT04585126,OTHER,collaborator,Centre Francois Baclesse,Health care Institution
5697887,NCT02657551,OTHER,lead,Dana-Farber Cancer Institute,Health care Institution
5610226,NCT04580199,OTHER,lead,Mahmoud Fahd,Other
5610423,NCT04577664,OTHER,lead,Assiut University,University
5611435,NCT04564924,OTHER,lead,Tongji Hospital,Health care Institution
5610688,NCT04574947,OTHER,lead,"Saint Petersburg State University, Russia",University
5610702,NCT04574817,INDUSTRY,lead,Taizhou Hanzhong biomedical co. LTD,Industry
5697888,NCT02657551,INDUSTRY,collaborator,Bayer,Other
5697921,NCT02244463,OTHER,lead,Dana-Farber Cancer Institute,Health care Institution
5697922,NCT02244463,INDUSTRY,collaborator,"Millennium Pharmaceuticals, Inc.",Industry
5611108,NCT04569513,OTHER,lead,National Taiwan University Hospital,Health care Institution
5612534,NCT04551170,OTHER,lead,Vanderbilt University Medical Center,Health care Institution
5612244,NCT04554680,OTHER,lead,"National University Hospital, Singapore",Health care Institution
5612245,NCT04554680,OTHER,collaborator,Singapore General Hospital,Health care Institution
5611518,NCT04563780,OTHER,lead,Assiut University,University
5611780,NCT04560426,OTHER,lead,Fudan University,University
5617864,NCT04135573,OTHER_GOV,lead,Shandong Provincial Hospital,Health care Institution
5614712,NCT04447183,INDUSTRY,lead,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",Industry
5614727,NCT04305561,OTHER,lead,Odense University Hospital,Health care Institution
5612825,NCT04548284,OTHER,lead,Sun Yat-sen University,University
5613302,NCT04542278,OTHER,lead,"University of Wisconsin, Madison",University
5618793,NCT04013100,OTHER,lead,IHU Strasbourg,Other
5620623,NCT05024929,OTHER,lead,Children's Hospital of Philadelphia,Health care Institution
5619730,NCT03884140,OTHER,lead,Assiut University,University
5621024,NCT04161391,INDUSTRY,lead,"Turning Point Therapeutics, Inc.",Industry
5620800,NCT04683575,OTHER,lead,Qianfoshan Hospital,Health care Institution
5622185,NCT05176639,INDUSTRY,lead,"Viridian Therapeutics, Inc.",Industry
5621767,NCT05280379,OTHER,lead,Radboud University Medical Center,Health care Institution
5621747,NCT05280600,OTHER,lead,King's College London,Other
5621748,NCT05280600,OTHER,collaborator,Guy's and St Thomas' NHS Foundation Trust,Other
5621749,NCT05280600,OTHER,collaborator,Action Medical Research,Other
5623355,NCT04211337,INDUSTRY,lead,"Loxo Oncology, Inc.",Industry
5623270,NCT04299425,OTHER,lead,Vanderbilt-Ingram Cancer Center,Health care Institution
5623271,NCT04299425,NIH,collaborator,National Cancer Institute (NCI),Government Agency
5623288,NCT04281875,OTHER,lead,Vanderbilt-Ingram Cancer Center,Health care Institution
5623289,NCT04281875,NIH,collaborator,National Cancer Institute (NCI),Government Agency
5623356,NCT04211337,INDUSTRY,collaborator,Eli Lilly and Company,Other
5623510,NCT04040673,OTHER,lead,Gloucestershire Hospitals NHS Foundation Trust,Health care Institution
5624193,NCT03285854,OTHER,lead,Great Ormond Street Hospital for Children NHS Foundation Trust,Health care Institution
5624067,NCT03483337,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
5624194,NCT03285854,OTHER,collaborator,University of Kiel,University
5624195,NCT03285854,OTHER,collaborator,"Athens General Children's Hospital ""Pan. & Aglaia Kyriakou""",Health care Institution
5624196,NCT03285854,OTHER,collaborator,Cukurova University,University
5625935,NCT03037385,INDUSTRY,lead,Hoffmann-La Roche,Other
5625008,NCT05252884,OTHER,lead,Centro de Excelencia en Enfermedades de Cabeza y Cuello,Other
5625009,NCT05252884,UNKNOWN,collaborator,IPS universitaria,Other
5635667,NCT05265819,OTHER,lead,Nabil Mahmoud Ismail Abdel-Aal,Other
5628700,NCT04742608,OTHER,lead,Jonsson Comprehensive Cancer Center,Health care Institution
5628848,NCT04589624,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
5628849,NCT04589624,NIH,collaborator,National Cancer Institute (NCI),Government Agency
5629290,NCT03892993,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
5629291,NCT03892993,NIH,collaborator,National Cancer Institute (NCI),Government Agency
6126982,NCT03029429,OTHER,lead,Vanderbilt University Medical Center,Health care Institution
6126983,NCT03029429,OTHER,collaborator,Harvard University,University
5627328,NCT04462471,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
5628503,NCT04994080,INDUSTRY,lead,"Chengdu Suncadia Medicine Co., Ltd.",Industry
5628729,NCT04708626,OTHER,lead,Uppsala University,University
5636062,NCT04009291,INDUSTRY,lead,Ascendis Pharma A/S,Other
5638214,NCT05278364,OTHER,lead,Shouyao Holdings (Beijing) Co. LTD,Industry
5638086,NCT05286801,NIH,lead,National Cancer Institute (NCI),Government Agency
5639550,NCT00381641,NIH,lead,National Cancer Institute (NCI),Government Agency
5639781,NCT00390325,NIH,lead,National Cancer Institute (NCI),Government Agency
5653541,NCT04991493,OTHER,lead,Affiliated Cancer Hospital of Shantou University Medical College,Health care Institution
5640409,NCT00410761,INDUSTRY,lead,"Genzyme, a Sanofi Company",Other
