nct_id,downcase_mesh_term,official_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
NCT00001159,graves disease,Evaluation of Patients With Thyroid Function Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00001159
NCT00001159,goiter,Evaluation of Patients With Thyroid Function Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00001159
NCT00209235,pseudopseudohypoparathyroidism,Natural History Study of Albright Hereditary Osteodystrophy: Includes Substudies on Effects of Growth Hormone in Patients With Pseudohypoparathyroidism Type 1a and Cognitive & Behavioral Studies in Albright Hereditary Osteodystrophy,Albright Hereditary Osteodystrophy|Pseudohypoparathyroidism Type 1A,2005-09-13,2026-10-31,2027-12-31,Interventional,Recruiting,Not Applicable,Connecticut Children's Medical Center,"Connecticut Children's Medical Center|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|Johns Hopkins University|UConn Health",Connecticut Children's Medical Center,Behavioral,United States,2.0,89.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,pseudohypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00209235
NCT00381641,"thyroid cancer, papillary","Phase II Trial of Sunitinib (SU11248) in Iodine-131 Refractory, Unresectable Differentiated Thyroid Cancers and Medullary Thyroid Cancers",Differentiated Thyroid Gland Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Thyroid Gland Carcinoma|Stage III Thyroid Gland Follicular Carcinoma AJCC v7|Stage III Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVA Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVB Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVC Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7|Stage IV Thyroid Gland Follicular Carcinoma AJCC v7|Stage IV Thyroid Gland Medullary Carcinoma AJCC v7|Stage IV Thyroid Gland Papillary Carcinoma AJCC v7|Thyroid Gland Hurthle Cell Carcinoma|Unresectable Thyroid Gland Carcinoma,2006-09-26,2016-12-31,,Interventional,"Active, not recruiting",Phase 2,National Cancer Institute (NCI),National Cancer Institute (NCI),University of Chicago Comprehensive Cancer Center|Decatur Memorial Hospital|NorthShore University HealthSystem-Evanston Hospital|Ingalls Memorial Hospital|Duly Health and Care Joliet|Loyola University Medical Center|Illinois CancerCare-Peoria|Central Illinois Hematology Oncology Center|Southern Illinois University School of Medicine|Fort Wayne Medical Oncology and Hematology Inc-Parkview|Northern Indiana Cancer Research Consortium|University of Maryland/Greenebaum Cancer Center|University of Michigan Comprehensive Cancer Center|Oncology Care Associates PLLC|Mercy Hospital Saint Louis|M D Anderson Cancer Center|Medical College of Wisconsin,Other|Other|Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, papillary",https://clinicaltrials.gov/ct2/show/NCT00381641
NCT00381641,"adenocarcinoma, follicular","Phase II Trial of Sunitinib (SU11248) in Iodine-131 Refractory, Unresectable Differentiated Thyroid Cancers and Medullary Thyroid Cancers",Differentiated Thyroid Gland Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Thyroid Gland Carcinoma|Stage III Thyroid Gland Follicular Carcinoma AJCC v7|Stage III Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVA Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVB Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVC Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7|Stage IV Thyroid Gland Follicular Carcinoma AJCC v7|Stage IV Thyroid Gland Medullary Carcinoma AJCC v7|Stage IV Thyroid Gland Papillary Carcinoma AJCC v7|Thyroid Gland Hurthle Cell Carcinoma|Unresectable Thyroid Gland Carcinoma,2006-09-26,2016-12-31,,Interventional,"Active, not recruiting",Phase 2,National Cancer Institute (NCI),National Cancer Institute (NCI),University of Chicago Comprehensive Cancer Center|Decatur Memorial Hospital|NorthShore University HealthSystem-Evanston Hospital|Ingalls Memorial Hospital|Duly Health and Care Joliet|Loyola University Medical Center|Illinois CancerCare-Peoria|Central Illinois Hematology Oncology Center|Southern Illinois University School of Medicine|Fort Wayne Medical Oncology and Hematology Inc-Parkview|Northern Indiana Cancer Research Consortium|University of Maryland/Greenebaum Cancer Center|University of Michigan Comprehensive Cancer Center|Oncology Care Associates PLLC|Mercy Hospital Saint Louis|M D Anderson Cancer Center|Medical College of Wisconsin,Other|Other|Drug|Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, follicular",https://clinicaltrials.gov/ct2/show/NCT00381641
NCT00390325,thyroid neoplasms,Phase II Study of Sorafenib (BAY 43-9006) in Patients With Metastatic Medullary Thyroid Carcinoma,Hereditary Thyroid Gland Medullary Carcinoma|Locally Advanced Thyroid Gland Medullary Carcinoma|Multiple Endocrine Neoplasia Type 2A|Multiple Endocrine Neoplasia Type 2B|Recurrent Thyroid Gland Medullary Carcinoma|Sporadic Thyroid Gland Medullary Carcinoma|Stage III Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVA Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVB Thyroid Gland Medullary Carcinoma AJCC v7|Stage IVC Thyroid Gland Medullary Carcinoma AJCC v7|Stage IV Thyroid Gland Medullary Carcinoma AJCC v7,2006-10-18,2017-01-30,,Interventional,"Active, not recruiting",Phase 2,National Cancer Institute (NCI),National Cancer Institute (NCI),Washington University School of Medicine|Duke University Medical Center|Ohio State University Comprehensive Cancer Center,Drug,United States,18.0,120.0,[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00390325
NCT00415233,thyroid neoplasms,"Multicentre Randomised Trial of High Dose Versus Low Dose Radioiodine, With or Without Recombinant Human Thyroid Stimulating Hormone, for Remnant Ablation Following Surgery for Differentiated Thyroid Cancer [HILO]",Head and Neck Cancer,2006-12-20,2011-06-30,2025-07-31,Interventional,"Active, not recruiting",Phase 3,"University College, London","University College, London",Sussex Cancer Centre at Royal Sussex County Hospital|Addenbrooke's Hospital|Kent and Canterbury Hospital|Castle Hill Hospital|Derbyshire Royal Infirmary|Royal Devon and Exeter Hospital|Gloucestershire Royal Hospital|St. Luke's Cancer Centre at Royal Surrey County Hospital|Ipswich Hospital|Leeds Cancer Centre at St. James's University Hospital|Leicester Royal Infirmary|Guy's Hospital|Royal Marsden - London|Maidstone Hospital|Christie Hospital|James Cook University Hospital|Newcastle Upon Tyne Hospitals NHS Trust|Northampton General Hospital|Mount Vernon Cancer Centre at Mount Vernon Hospital|Norfolk and Norwich University Hospital|Dorset Cancer Centre|Cancer Research Centre at Weston Park Hospital|University Hospital of North Staffordshire|Velindre Cancer Center at Velindre Hospital|Glan Clwyd Hospital,Biological|Radiation,United Kingdom,16.0,80.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,Thyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00415233
NCT00556530,parathyroid diseases,Genetic Modifiers of 22q11.2 Deletion Syndrome,22q11.2 Deletion Syndrome|DiGeorge Syndrome,2007-11-08,2022-06-06,2025-07-31,Observational,Recruiting,,Albert Einstein College of Medicine,"Albert Einstein College of Medicine|National Heart, Lung, and Blood Institute (NHLBI)",Albert Einstein College of Medicine|Children's Hospital of Philadelphia,,United States,0.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT00556530
NCT00768820,parathyroid diseases,"The Psychiatric and Cognitive Phenotypes in Velocardiofacial Syndrome (VCFS), Williams Syndrome (WS)and Fragile X Syndrome Characterization, Treatment and Examining the Connection to Developmental and Molecular Factors",Fragile X Syndrome|Velocardiofacial Syndrome|Williams Syndrome,2008-10-07,2022-12-31,2022-12-31,Interventional,Recruiting,Phase 4,The Chaim Sheba Medical Center,The Chaim Sheba Medical Center,Schneider Children's Mediac Center of Israel,Drug,Israel,0.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT00768820
NCT01005654,parathyroid diseases,Prospective Comprehensive Molecular Analysis of Endocrine Neoplasms,Adrenal Neoplasm|Endocrine Tumors|Neuroblastoma|Parathyroid Neoplasms|Thyroid Neoplasms,2009-10-30,,,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Cancer Institute (NCI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,4.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Parathyroid diseases,https://clinicaltrials.gov/ct2/show/NCT01005654
