index,nct_id,location,continent,iso
0,NCT00001159,United States,North America,USA
9,NCT00001277,United States,North America,USA
18,NCT00004048,United States,North America,USA
22,NCT00004074,United States,North America,USA
25,NCT00004089,United States,North America,USA
27,NCT00004340,United States,North America,USA
29,NCT00004351,United States,North America,USA
33,NCT00004660,United States,North America,USA
41,NCT00005102,United States,North America,USA
48,NCT00037193,United States,North America,USA
64,NCT00053547,United States,North America,USA
65,NCT00060242,United States,North America,USA
66,NCT00061906,United States,North America,USA
67,NCT00068497,United States,North America,USA
74,NCT00073710,United States,North America,USA
76,NCT00077103,United States,North America,USA
79,NCT00085293,United States,North America,USA
87,NCT00095693,United States,North America,USA
91,NCT00095836,United States,North America,USA
93,NCT00098813,United States,North America,USA
96,NCT00098852,United States,North America,USA
97,NCT00100828,United States,North America,USA
98,NCT00103155,United States,North America,USA
100,NCT00104871,United States,North America,USA
102,NCT00105274,United States,North America,USA
104,NCT00108394,United States,North America,USA
117,NCT00118248,United States,North America,USA
120,NCT00123461,Puerto Rico,Central America,PRI
120,NCT00123461,United States,North America,USA
130,NCT00134043,United States,North America,USA
137,NCT00145366,Denmark,Europe,DNK
140,NCT00147433,United States,North America,USA
142,NCT00150111,Denmark,Europe,DNK
147,NCT00150124,Denmark,Europe,DNK
152,NCT00150137,Denmark,Europe,DNK
154,NCT00150150,Denmark,Europe,DNK
157,NCT00161109,Netherlands,Europe,NLD
157,NCT00161109,United States,North America,USA
161,NCT00174057,Taiwan,East Asia,TWN
166,NCT00175149,Denmark,Europe,DNK
177,NCT00209235,United States,North America,USA
178,NCT00211939,United States,North America,USA
181,NCT00213720,France,Europe,FRA
186,NCT00257920,United States,North America,USA
191,NCT00261950,Belgium,Europe,BEL
191,NCT00261950,Czech Republic,Europe,CZE
191,NCT00261950,Hungary,Europe,HUN
191,NCT00261950,Italy,Europe,ITA
191,NCT00261950,"Macedonia, The Former Yugoslav Republic of",Europe,MKD
191,NCT00261950,Poland,Europe,POL
191,NCT00261950,Portugal,Europe,PRT
191,NCT00261950,Spain,Europe,ESP
191,NCT00261950,Switzerland,Europe,CHE
191,NCT00261950,Turkey,Middle East,TUR
191,NCT00261950,United Kingdom,Europe,GBR
191,NCT00261950,United States,North America,USA
200,NCT00278005,United States,North America,USA
204,NCT00285467,United States,North America,USA
208,NCT00287144,Norway,Europe,NOR
211,NCT00287287,United States,North America,USA
213,NCT00288522,Spain,Europe,ESP
217,NCT00288873,United States,North America,USA
221,NCT00297297,Denmark,Europe,DNK
226,NCT00316823,United States,North America,USA
228,NCT00322322,France,Europe,FRA
230,NCT00325104,United States,North America,USA
232,NCT00335062,United States,North America,USA
241,NCT00342641,United States,North America,USA
245,NCT00348413,Singapore,Southest Asia,SGP
259,NCT00360074,Germany,Europe,DEU
262,NCT00364234,United States,North America,USA
266,NCT00374712,France,Europe,FRA
274,NCT00381641,United States,North America,USA
278,NCT00385983,Brazil,South America,BRA
279,NCT00388297,United States,North America,USA
281,NCT00390325,United States,North America,USA
289,NCT00397475,Germany,Europe,DEU
291,NCT00400465,Thailand,Southest Asia,THA
300,NCT00415233,United Kingdom,Europe,GBR
302,NCT00415584,United States,North America,USA
304,NCT00416949,United States,North America,USA
309,NCT00418600,United States,North America,USA
310,NCT00424151,United States,North America,USA
314,NCT00430547,Australia,Pacifica,AUS
326,NCT00432939,United States,North America,USA
329,NCT00437931,Israel,Middle East,ISR
332,NCT00446329,Greece,Europe,GRC
341,NCT00454350,United States,North America,USA
347,NCT00463021,United States,North America,USA
351,NCT00469599,Denmark,Europe,DNK
354,NCT00470496,United States,North America,USA
360,NCT00480428,Kazakhstan,North Asia,KAZ
378,NCT00507897,Russian Federation,North Asia,RUS
386,NCT00519896,United States,North America,USA
390,NCT00522028,Norway,Europe,NOR
393,NCT00525135,United States,North America,USA
402,NCT00528788,United States,North America,USA
403,NCT00531713,Denmark,Europe,DNK
404,NCT00535561,Turkey,Middle East,TUR
407,NCT00537797,United States,North America,USA
408,NCT00537979,Mexico,North America,MEX
417,NCT00552253,Taiwan,East Asia,TWN
423,NCT00556530,United States,North America,USA
424,NCT00559949,Canada,North America,CAN
424,NCT00559949,United States,North America,USA
435,NCT00571077,Israel,Middle East,ISR
435,NCT00571077,United States,North America,USA
436,NCT00571090,Turkey,Middle East,TUR
441,NCT00576407,United States,North America,USA
442,NCT00576836,United States,North America,USA
445,NCT00579527,United States,North America,USA
446,NCT00579709,United States,North America,USA
449,NCT00580320,United States,North America,USA
455,NCT00587158,United States,North America,USA
458,NCT00588432,United States,North America,USA
460,NCT00595335,United States,North America,USA
467,NCT00601328,United States,North America,USA
478,NCT00639405,United States,North America,USA
481,NCT00646282,United States,North America,USA
484,NCT00651625,United States,North America,USA
485,NCT00654238,United States,North America,USA
487,NCT00664430,Brazil,South America,BRA
490,NCT00665795,Brazil,South America,BRA
494,NCT00667576,Japan,East Asia,JPN
503,NCT00674154,Denmark,Europe,DNK
505,NCT00677469,"Iran, Islamic Republic of",Middle East,IRN
511,NCT00697528,Brazil,South America,BRA
515,NCT00701805,Japan,East Asia,JPN
522,NCT00729157,United States,North America,USA
530,NCT00742716,Canada,North America,CAN
530,NCT00742716,United States,North America,USA
540,NCT00752401,Austria,Europe,AUT
544,NCT00754442,United States,North America,USA
546,NCT00768820,Israel,Middle East,ISR
548,NCT00781417,United States,North America,USA
552,NCT00782366,United States,North America,USA
559,NCT00792857,United States,North America,USA
575,NCT00804830,Sweden,Europe,SWE
580,NCT00823303,United States,North America,USA
584,NCT00828347,Japan,East Asia,JPN
592,NCT00858104,Italy,Europe,ITA
595,NCT00859612,United States,North America,USA
597,NCT00877630,China,East Asia,CHN
600,NCT00877981,Denmark,Europe,DNK
600,NCT00877981,Sweden,Europe,SWE
602,NCT00887107,Netherlands,Europe,NLD
606,NCT00888069,United States,North America,USA
610,NCT00891813,Peru,South America,PER
614,NCT00902122,China,East Asia,CHN
618,NCT00916955,United States,North America,USA
619,NCT00917189,United States,North America,USA
624,NCT00921050,Mexico,North America,MEX
640,NCT00946296,United States,North America,USA
646,NCT00958113,United States,North America,USA
653,NCT00958451,United States,North America,USA
655,NCT00961701,Israel,Middle East,ISR
657,NCT00962221,Israel,Middle East,ISR
660,NCT00973336,Austria,Europe,AUT
665,NCT00975221,Australia,Pacifica,AUS
665,NCT00975221,Canada,North America,CAN
665,NCT00975221,Hungary,Europe,HUN
665,NCT00975221,Poland,Europe,POL
665,NCT00975221,Portugal,Europe,PRT
665,NCT00975221,Russian Federation,North Asia,RUS
665,NCT00975221,United States,North America,USA
667,NCT00977080,Czech Republic,Europe,CZE
667,NCT00977080,Denmark,Europe,DNK
667,NCT00977080,Germany,Europe,DEU
667,NCT00977080,Greece,Europe,GRC
