Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,8781145,NCT03271892,OTHER,lead,"University Health Network, Toronto",University
1,8781146,NCT03271892,OTHER_GOV,collaborator,Ontario Ministry of Health and Long Term Care,Other
2,8781147,NCT03271892,OTHER,collaborator,Canadian Cancer Society (CCS),Other
3,8782493,NCT03257930,OTHER,lead,hassan harby mohamed,Other
4,8781424,NCT03268785,OTHER,lead,Xijing Hospital,Health care Institution
5,8782529,NCT03257566,OTHER,lead,Assiut University,University
6,8785740,NCT03226171,INDUSTRY,lead,"Sanwa Kagaku Kenkyusho Co., Ltd.",Industry
7,8783418,NCT03249012,OTHER,lead,CHU de Quebec-Universite Laval,Health care Institution
8,8783621,NCT03246659,OTHER,lead,Paola Anna Erba,Other
9,8783622,NCT03246659,OTHER,collaborator,Jagiellonian University,University
10,8783623,NCT03246659,OTHER,collaborator,University Hospital Freiburg,Health care Institution
11,8783624,NCT03246659,OTHER,collaborator,Medical University Innsbruck,University
12,8783625,NCT03246659,OTHER,collaborator,University Medical Centre Ljubljana,University
13,8783626,NCT03246659,UNKNOWN,collaborator,"NATIONAL CENTRE FOR NUCLEAR RESEARCH, Poland",Other
14,8783627,NCT03246659,OTHER,collaborator,Erasmus Medical Center,Health care Institution
15,8783628,NCT03246659,UNKNOWN,collaborator,"INRASTES, NCSR Demokritos, Athens, Greece",Other
16,8784341,NCT03239769,OTHER,lead,Beijing Cancer Hospital,Health care Institution
17,8783799,NCT03244956,OTHER,lead,"Gustave Roussy, Cancer Campus, Grand Paris",Health care Institution
18,8787961,NCT03203668,OTHER,lead,University Medical Centre Ljubljana,University
19,8787962,NCT03203668,OTHER,collaborator,Institute of Oncology Ljubljana,Other
20,8515206,NCT01204359,OTHER,lead,Sun Yat-sen University,University
21,8788108,NCT03202160,OTHER,lead,Assiut University,University
22,8788351,NCT03199677,OTHER,lead,Chinese Academy of Medical Sciences,Other
23,8788788,NCT03195296,OTHER,lead,University of Pisa,University
24,8788898,NCT03194087,OTHER,lead,Beijing Friendship Hospital,Health care Institution
25,8789187,NCT03191643,OTHER,lead,IRCCS Azienda Ospedaliero-Universitaria di Bologna,Health care Institution
26,8790315,NCT03181100,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
27,8790055,NCT03183752,OTHER,lead,Hospital Universitário Clementino Fraga Filho,Health care Institution
28,8790325,NCT03180892,OTHER,lead,Samsung Medical Center,Health care Institution
29,8789243,NCT03191188,OTHER,lead,"University of California, Irvine",University
30,8789244,NCT03191188,NIH,collaborator,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
31,8790122,NCT03182699,OTHER,lead,Rainer Oberbauer,Other
32,8790123,NCT03182699,INDUSTRY,collaborator,Amgen,Other
33,8790316,NCT03181100,NIH,collaborator,National Cancer Institute (NCI),Government Agency
34,8790577,NCT03178253,OTHER,lead,Assiut University,University
35,8792413,NCT03158961,OTHER,lead,The University of Hong Kong,University
36,8791337,NCT03170804,OTHER,lead,Aventura Hospital and Medical Center,Health care Institution
37,8791634,NCT03167385,OTHER,lead,Tianjin Medical University Cancer Institute and Hospital,Health care Institution
38,8790774,NCT03176485,OTHER,lead,University of Arizona,University
39,8792256,NCT03160482,OTHER,lead,Robert Day,Other
40,8792307,NCT03160274,OTHER,lead,The University of Texas Health Science Center at San Antonio,University
41,8792308,NCT03160274,NIH,collaborator,National Institute of General Medical Sciences (NIGMS),Government Agency
42,8794016,NCT05152927,OTHER,lead,"University of California, San Francisco",University
43,8792574,NCT03157466,OTHER,lead,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Other
44,8793415,NCT03149354,OTHER,lead,"Centre Hospitalier Universitaire, Amiens",Health care Institution
45,8794017,NCT05152927,OTHER,collaborator,Vanderbilt University Medical Center,Health care Institution
46,8794018,NCT05152927,NIH,collaborator,National Cancer Institute (NCI),Government Agency
47,8794044,NCT05070091,OTHER,lead,Medical University of Gdansk,University
48,8794045,NCT05070091,OTHER,collaborator,"National Center for Research and Development, Poland",Other
49,8795455,NCT03137316,OTHER,lead,Benha University,University
50,8794586,NCT02012699,OTHER,lead,University of Nebraska,University
51,8248888,NCT04976816,OTHER,lead,Assiut University,University
52,8795456,NCT03137316,INDUSTRY,collaborator,New Jeddah Clinic Hospital,Health care Institution
53,8795678,NCT03134976,OTHER,lead,University of Michigan,University
54,8796400,NCT03127098,INDUSTRY,lead,"NantCell, Inc.",Industry
55,8796292,NCT03128255,OTHER,lead,Jena University Hospital,Health care Institution
56,8796293,NCT03128255,INDUSTRY,collaborator,GE Healthcare,Other
57,8381879,NCT03072160,NIH,lead,National Cancer Institute (NCI),Government Agency
58,8796665,NCT03123406,INDUSTRY,lead,"Kyowa Hakko Kirin China Pharmaceutical Co., LTD.",Industry
59,8798262,NCT03108222,OTHER,lead,Purdue University,University
60,8797506,NCT03115515,OTHER,lead,Medstar Health Research Institute,Other
61,8797947,NCT03110835,OTHER,lead,University of Pisa,University
62,8797959,NCT03110848,OTHER,lead,University of Pisa,University
63,8796964,NCT03120221,OTHER,lead,Clalit Health Services,Other
64,8797639,NCT03114267,OTHER,lead,"Centre Hospitalier Universitaire, Amiens",Health care Institution
65,8798046,NCT03109847,OTHER,lead,Sidney Kimmel Cancer Center at Thomas Jefferson University,Health care Institution
66,8798509,NCT03105648,OTHER,lead,National Taiwan University Hospital,Health care Institution
67,8798367,NCT03107078,OTHER_GOV,lead,Jie Shen,Other
68,8798368,NCT03107078,OTHER,collaborator,The Fifth Affiliated Hospital of Southern Medical University,Health care Institution
69,8798369,NCT03107078,OTHER,collaborator,Huadu District People's Hospital of Guangzhou,Health care Institution
70,8798370,NCT03107078,OTHER,collaborator,Zhujiang Hospital,Health care Institution
71,8798374,NCT03106935,OTHER,lead,Second Affiliated Hospital of Soochow University,Health care Institution
72,8798691,NCT03103776,OTHER,lead,"Centre Hospitalier Universitaire, Amiens",Health care Institution
73,8798716,NCT03103607,OTHER,lead,University of Pisa,University
74,8799203,NCT03098225,OTHER,lead,University of Pisa,University
75,8798850,NCT03102177,OTHER,lead,Georgetown University,University
