,PMID,Full_author_name,Without_special_character
0,12803008,"day, terry a",day terry a
0,12803008,"chu, angela",chu angela
0,12803008,"hoang, khanh gien",hoang khanh gien
1,12487770,"knudsen, nils",knudsen nils
1,12487770,"laurberg, peter",laurberg peter
1,12487770,"perrild, hans",perrild hans
1,12487770,"bülow, inge",bülow inge
1,12487770,"ovesen, lars",ovesen lars
1,12487770,"jørgensen, torben",jørgensen torben
2,14750279,"garcia e costa, joaquim",garcia e costa joaquim
3,12588812,"hegedüs, laszlo",hegedüs laszlo
3,12588812,"bonnema, steen j",bonnema steen j
3,12588812,"bennedbaek, finn n",bennedbaek finn n
4,12613335,"casadei, riccardo",casadei riccardo
4,12613335,"perenze, barbara",perenze barbara
4,12613335,"calculli, lucia",calculli lucia
4,12613335,"minni, francesco",minni francesco
4,12613335,"conti, andrea",conti andrea
4,12613335,"marrano, domenico",marrano domenico
5,14599114,"karabay, nuri",karabay nuri
5,14599114,"comlekci, abdurrahman",comlekci abdurrahman
5,14599114,"canda, m serefettin",canda m serefettin
5,14599114,"bayraktar, firat",bayraktar firat
5,14599114,"degirmenci, berna",degirmenci berna
6,12508907,"vitti, p",vitti p
6,12508907,"rago, t",rago t
6,12508907,"tonacchera, m",tonacchera m
6,12508907,"pinchera, a",pinchera a
7,12459101,"ríos zambudio, a",ríos zambudio a
7,12459101,"rodríguez gonzález, j m",rodríguez gonzález j m
7,12459101,"balsalobre salmerón, m d",balsalobre salmerón m d
7,12459101,"parrilla paricio, p",parrilla paricio p
8,14577110,"giacomelli, la",giacomelli la
8,14577110,"gagliarducci, e",gagliarducci e
8,14577110,"guerriero, g",guerriero g
8,14577110,"feroci, d",feroci d
8,14577110,"ferri, s",ferri s
8,14577110,"iachetta, r p",iachetta r p
8,14577110,"fabrizio, g",fabrizio g
9,12150346,"papi, g",papi g
9,12150346,"carapazzi, c",carapazzi c
10,12025449,"mendes, henrique",mendes henrique
10,12025449,"zagalo-cardoso, j a",zagalo-cardoso j a
11,14615127,"helling, thomas j",helling thomas j
12,14615126,"van haeften, timon w",van haeften timon w
13,11942003,"sianesi, mario",sianesi mario
13,11942003,"del rio, paolo",del rio paolo
13,11942003,"arcuri, maria francesca",arcuri maria francesca
13,11942003,"soliani, paolo",soliani paolo
13,11942003,"rusca, michele",rusca michele
14,12504972,"castañeda, rutila",castañeda rutila
14,12504972,"lechuga, diana",lechuga diana
14,12504972,"ramos, rosa isela",ramos rosa isela
14,12504972,"magos, clementina",magos clementina
14,12504972,"orozco, maribel",orozco maribel
14,12504972,"martínez, homero",martínez homero
15,12587479,"ignjatović, m",ignjatović m
15,12587479,"stanić, v",stanić v
15,12587479,"cuk, v",cuk v
15,12587479,"kostić, z",kostić z
16,16444160,"lorini, renata",lorini renata
16,16444160,"gastaldi, roberto",gastaldi roberto
16,16444160,"traggiai, cristina",traggiai cristina
16,16444160,"perucchin, paola polo",perucchin paola polo
17,16444159,"glaser, benjamin",glaser benjamin
18,12380491,"pozdniak, a o",pozdniak a o
19,11989300,"schicha, h",schicha h
19,11989300,"dietlein, m",dietlein m
20,12424486,"lisbõa, h r k",lisbõa h r k
20,12424486,"gross, j l",gross j l
21,11863477,"knudsen, nils",knudsen nils
21,11863477,"bülow, inge",bülow inge
21,11863477,"laurberg, peter",laurberg peter
21,11863477,"ovesen, lars",ovesen lars
21,11863477,"perrild, hans",perrild hans
21,11863477,"jørgensen, torben",jørgensen torben
22,12064511,"prades, jean-michel",prades jean-michel
22,12064511,"dumollard, jean-marc",dumollard jean-marc
22,12064511,"timoshenko, andrei",timoshenko andrei
22,12064511,"chelikh, larbi",chelikh larbi
22,12064511,"michel, frederic",michel frederic
22,12064511,"estour, bruno",estour bruno
22,12064511,"martin, christian",martin christian
23,12213883,"mezosi, emese",mezosi emese
23,12213883,"yamazaki, hiroko",yamazaki hiroko
23,12213883,"bretz, james d",bretz james d
23,12213883,"wang, su he",wang su he
23,12213883,"arscott, patricia l",arscott patricia l
23,12213883,"utsugi, saho",utsugi saho
23,12213883,"gauger, paul g",gauger paul g
23,12213883,"thompson, norman w",thompson norman w
23,12213883,"baker, james r jr",baker james r jr
24,15513011,"mizen, t r",mizen t r
25,12132533,"nagai, yukihiro",nagai yukihiro
25,12132533,"sugimoto, naoki",sugimoto naoki
25,12132533,"nagasato, atsushi",nagasato atsushi
25,12132533,"hashizume, yasuo",hashizume yasuo
25,12132533,"abe, toshio",abe toshio
25,12132533,"nomura, gakuji",nomura gakuji
26,12638522,"weetman, a p",weetman a p
27,12685194,"karak, asis k",karak asis k
27,12685194,"marwaha, raman k",marwaha raman k
27,12685194,"tandon, nikhil",tandon nikhil
27,12685194,"gupta, nandita",gupta nandita
27,12685194,"kochupillai, narayana",kochupillai narayana
27,12685194,"verma, kusum",verma kusum
28,12005006,"fisher, joseph n",fisher joseph n
29,12398572,"frassetto, florence",frassetto florence
29,12398572,"tourneur martel, florence",tourneur martel florence
29,12398572,"barjhoux, claude-elisabeth",barjhoux claude-elisabeth
29,12398572,"villier, céline",villier céline
