,PMID,Observational_study_characteristics
15,12587479,prospective studies
16,12587479,prospective
23,11863477,cross-sectional studies
24,11863477,cross-sectional
25,12064511,retrospective studies
26,12064511,retrospective
37,12600858,longitudinal studies
38,12600858,prospective studies
39,12600858,longitudinal
40,12600858,prospective
46,12853515,cross-sectional studies
47,12853515,cross-sectional
51,14759072,cross-sectional studies
52,14759072,cross-sectional
54,12516234,retrospective studies
55,12516234,retrospective
64,12008694,cross-sectional studies
65,12008694,cross-sectional
66,12463104,cross-sectional studies
67,12463104,cross-sectional
68,12095600,retrospective studies
69,12095600,prospective studies
70,12095600,retrospective
71,12095600,prospective
79,12227399,cross-sectional studies
80,12227399,cross-sectional
88,12490836,retrospective studies
89,12490836,retrospective
92,12690684,follow-up studies
93,12690684,retrospective
99,12955839,follow-up studies
112,12691928,prospective studies
113,12691928,retrospective
114,12691928,prospective
116,11838733,case-control studies
117,11838733,case-control
120,12843153,follow-up studies
121,12843153,cross-sectional
128,12122718,retrospective studies
129,12122718,retrospective
140,14520113,retrospective studies
141,14520113,retrospective
142,12225636,follow-up studies
144,12088916,longitudinal studies
145,12088916,prospective studies
146,12088916,longitudinal
147,12088916,prospective
153,12487766,prospective studies
154,12487766,prospective
159,12184022,retrospective studies
160,12184022,retrospective
165,12088914,retrospective
166,12088914,prospective
174,12140107,follow-up studies
179,12235469,prospective
182,12876418,retrospective studies
183,12876418,follow-up studies
184,12876418,retrospective
194,14717526,retrospective studies
195,14717526,retrospective
198,14513882,prospective studies
199,14513882,prospective
201,12076947,cross-sectional
202,12884093,follow-up studies
204,11881292,retrospective studies
205,11881292,retrospective
217,12602535,cross-sectional studies
218,12602535,cross-sectional
219,12066519,cross-sectional studies
220,12066519,cross-sectional
222,15179770,retrospective
226,12397534,follow-up studies
227,12397534,retrospective
244,11827763,cohort studies
245,11827763,cohort
247,12100323,cross-sectional
248,12213667,retrospective
253,12601300,prospective
256,12948296,prospective studies
257,12948296,cross-sectional studies
258,12948296,prospective
259,12948296,cross-sectional
266,11929086,retrospective
267,14665720,case-control studies
268,14665720,case-control
271,12371079,prospective studies
272,12371079,prospective
273,12847995,longitudinal studies
274,12847995,longitudinal
275,12649781,prospective studies
276,12649781,cross-sectional studies
277,12649781,prospective
278,12649781,cross-sectional
279,12901542,retrospective studies
280,12901542,retrospective
281,12920352,cross-sectional studies
282,12920352,cross-sectional
283,12630491,retrospective studies
284,12630491,retrospective
285,12687030,follow-up studies
286,11926912,cross-sectional studies
287,11926912,cross-sectional
290,12920751,retrospective studies
291,12920751,retrospective
293,14583303,retrospective studies
294,14583303,retrospective
295,11885575,prospective studies
296,11885575,prospective
301,12789104,cross-sectional studies
302,12789104,cross-sectional
309,12914399,prospective studies
310,12914399,prospective
311,12887286,prospective studies
312,12887286,cohort
313,12887286,prospective
316,12584656,follow-up studies
320,12640473,cross-sectional studies
