,PMID,Other_term
2895,23998691,hyperthyroidism---hypothyroidism---menopause---nodular goiter---thyroid hormone function
2901,23136541,nodular goiter---peri-operative treatment---surgical intervention. cois
2904,25047208,extracervical scarless neck thyroidectomy (esnt)---minimal neck incision thyroidectomy (mnit)---minimally invasive video-assisted thyroidectomy (mivat)---nodular goitre---thyroid cancer
2956,24847400,large goiter---morbidity---thyroidectomy
2998,24211158,anxiety disorders---autoimmune thyroiditis---depression---goiter---hashimoto's thyroiditis
3004,23646218,benign thyroid hypertrophy---giant goiter---goiter---multinodular goiter---thyroidectomy
3012,22362641,congenital hypothyroidism---dyshormonogenetic goiter---euthyroid---follicular lesion---follicular neoplasm
3024,23688788,complications---goiter---levothyroxine---lobectomy---mng---multinodular---recurrence---resection---thyroid---thyroidectomy
3025,23993801,airway obstruction---caesarean section---fibreoptic intubation---thyroidectomy
3049,24144816,benign multinodular goiter---complications---incidental thyroid cancer---jóindulatú multinodularis golyva---szövődmények---tapasztalatok---total thyreoidectomia---total thyroidectomy
3058,23838540,deafness---enlarged vestibular aqueduct---pendred syndrome---pendrin---slc26a4
3066,23685895,nob1---papillary thyroid carcinoma---clinical significance---immunohistochemistry---quantitative rt–pcr
3074,24082285,radioiodine---hyperthyroidism
3077,22991383,laser ablation---multinodular goiter---thyroid nodules
3087,24211307,carcinome papillaire de la thyroïde---goitre multi-nodulaire---hyperthyroidie---hyperthyroidism---multinodular goiter---panuveitis---panuvéite---papillary thyroid carcinoma---vascularite veineuse---venous vasculitis
3088,24117750,minimally invasive surgery---retrosternal goiter---robot-assisted surgery
3090,24411304,hashimoto's thyroiditis---metastatic burden---metastatic disease---multi-nodular goiter---thyroglobulin---thyroid cancer---thyroidectomy---thyroiditis
3091,24222113,"braf mutations---hras, kras and nras mutations---kras codon 59 deletion---follicular-patterned thyroid lesions"
3095,24043280,goiter---neonatal graves’ disease---respiratory failure---thyroid
3109,23645248,oestrogen---progenitor cells---thyroid nodules---thyroid stem cells
3131,24327568,fine-needle cytology---mantel zone lymphoma---micrornas---primary thyroid lymphoma---thyroid cancer
3139,24239133,bocio endotorácico---esternotomía---intrathoracic goiter---mediastino posterior---posterior mediastinum---sternotomy---thoracotomy---thyroidectomy---tiroidectomía---toracotomía
3156,24227901,lingual thyroid goiter---thyroid ectopias---transoral robotic surgery
3175,23728841,dicer1---family history---multinodular goiter---ovarian sertoli-leydig cell tumors---tumor surveillance
3192,23428758,agreement---bocio---concordancia---goitre---interobservador---interobserver
3217,24456861,atrophic renal parenchyma-like tumor---comparative genomic hybridization---humara---kidney---thyroid-like renal tumor
3220,23918194,nerve monitoring---parathyroid surgery---recurrent laryngeal nerve---thyroid surgery
3226,23650151,delhi---iodine deficiency disorders---iodized salt---urinary iodine excretion
3234,24070662,anti–thyroid peroxidase antibodies---autoimmune thyroiditis---hashimoto's thyroiditis---quality of life---thyroidectomy
3261,23303305,endocrinology---intensive care---neonatology
3278,24043977,airway stenting---radiofrequency ablation---thyroid goiter
3287,22987562,carotid sheath dissection---intraoperative neuromonitoring---recurrent laryngeal nerve---thyroid surgery---vagal nerve stimulation
3288,23473435,bisturí armónico---bocio multinodular---budget impact---harmonic scalpel---impacto económico---multinodular goitre---thyroidectomy---tiroidectomía
3314,24376294,endemic goitre---parathyroid surgery---video-assisted parathyroidectomy---video-assisted thyroidectomy
3353,22351646,fine-needle aspiration---malignant melanoma---thyroid cyst wall atypia
3365,23868574,goiter---iodized salt---thyroid---urinary iodine excretion
3397,24249820,laryngeal nerve palsy---methimazole---pediatric graves’ disease---reversible---vocal cord paralysis
3402,23690528,airway management---anesthesia---general---thyroidectomy
3416,23482353,medicare---age-associated disease---comorbidity---disease onset---older people---time trends
3442,24189283,at---autoimmune thyroiditis---ccl---cd---cia---cs---csf---cxcl---cxcl10---cxcr3---circulating cxcl10 levels---cryoglobulinemia---gad---gd---go---graves---graves' disease---graves' ophthalmopathy---graves’ disease---graves’ ophthalmopathy---gtx---hepatitis c virus infection associated mixed cryoglobulinemia---ifn---ifn-γ-induced protein 10---il---ip-10---jia---juvenile idiopathic arthritis---mc---mc+hcv---mcp-1---mdc/ccl22---mig---mmi---mp---nf-kb---nk---npsle---ppar-γ---ptc---papillary thyroid cancer---peroxisome proliferator-activated receptor-γ---psa---psoriatic arthritis---ra---rankl---rantes---ret/ptc---rheumatoid arthritis---sf---sle---ss---ssc---st---sjögren syndrome---systemic lupus erythematosus---systemic sclerosis---t helper---t1d---tarc/ccl17---tfc---tnf---tng---tr---th---thyroid follicular cells---thyroiditis---toxic nodular goiter---type 1 diabetes---autoimmune thyroiditis---cerebrospinal fluid---chemokine (c–c motif) ligand---chemokine (c–x–c motif) ligand---chemokine (c–x–c motif) receptor 3---circulating cxcl10 levels---cluster of differentiation---collagen-induced arthritis---corticosteroid---glutamic acid decarboxylase---hepatitis c virus infection associated mixed cryoglobulinemia---hyperthyroid gd---interferon---interleukin---juvenile idiopathic arthritis---macrophage-derived chemokine/ccl22---methimazole---methylprednisolone---mixed cryoglobulinemia---monocyte chemotactic protein-1---monokine induced by ifn-γ---natural killer---neuropsychiatric sle---normal t cell expressed and secreted---nuclear factor-kappa b---papillary thyroid cancer---peroxisome proliferator-activated receptor-γ---psoriatic arthritis---rearranged in transformation/ptc---receptor activator of nuclear factor kappa-b ligand---rheumatoid arthritis---scxcl10---synovial fluid---synovial tissue---systemic lupus erythematosus---systemic sclerosis---teleradiotherapy---thymus and activation regulated chemokine/ccl17---thyroid follicular cells---toxic nodular goiter---tumor necrosis factor---type 1 diabetes
