,PMID,Other_terms
1470,31427038,goitre multinodulaire
1471,31427038,hyperthyroïdie infra-clinique
1472,31427038,multinodular goiter
1473,31427038,subclinical hyperthyroidism
1474,31427038,tsh
1475,31427038,thyroid
1476,31427038,thyroïde
1477,31542786,*nodular goiter
1478,31542786,*thyroid cancer cois
1479,31477522,*substernal goiter
1480,31477522,*thyroid
1481,31477522,*thyroidectomy cois disclose.
1482,29950539,american thyroid association (ata)
1483,29950539,european thyroid association (eta)
1484,29950539,grave's disease
1485,29950539,japan thyroid association/ japan endocrine society
1486,29950539,thyroid
1487,31583517,ectopic goiter
1488,31583517,ectopic thyroid
1489,31583517,intrapericardial goiter
1490,31583517,intrathoracic goiter
1491,31129908,*art
1492,31129908,*history
1493,31129908,*thyroid swelling
1496,32233333,nodules
1497,32233333,thyroid
1498,30788771,art
1499,30788771,endemic goiter
1500,30788771,history
1501,30788771,thyroid swelling
1502,30105567,goiter
1503,30105567,iodine deficiency
1504,30105567,prevalence
1505,30105567,school children
1506,30105567,urinary iodine
1507,30224035,fetal ultrasound
1508,30224035,graves’ disease
1509,30224035,maladie de basedow
1510,30224035,multidisciplinarity
1511,30224035,multidisciplinarité
1512,30224035,neonatal monitoring
1513,30224035,surveillance néonatale
1514,30224035,trab
1515,30224035,teratogenicity
1516,30224035,tératogénicité
1517,30224035,échographie fœtale
1521,30193753,antithyroid drugs
1522,30193753,antithyroïdien
1523,30193753,chirurgie
1524,30193753,graves’ disease
1525,30193753,grossesse
1526,30193753,maladie de basedow
1527,30193753,myxœdeme prétibial
1528,30193753,orbitopathie
1529,30193753,orbitopathy
1530,30193753,pregnancy
1531,30193753,radioiode
1532,30193753,radioiodine
1533,30193753,surgery
1534,30193753,thyroid dermopathy
1538,32041923,graves’ ophthalmopathy
1539,32041923,diagnosis
1540,32041923,management
1542,30342794,epidemiology
1543,30342794,graves’ disease
1544,30342794,pathophysiology
1545,31464605,children
1546,31464605,ethiopia
1547,31464605,goiter
1548,31464605,meta-analysis cois
1551,31221571,*continuous neuromonitoring
1552,31221571,*intraoperative neuromonitoring
1553,31221571,*recurrent laryngeal nerve
1554,31221571,*staged thyroidectomy
1555,31221571,*thyroidectomy
1556,31221571,*vagus nerve stimulation
1559,30177259,chirurgie ophtalmologique
1560,30177259,corticotherapy
1561,30177259,corticothérapie
1562,30177259,eugogo
1563,30177259,graves’ orbitopathy
1564,30177259,immunosuppression treatment
1565,30177259,orbitopathie basedowienne
1566,30177259,smoking
1567,30177259,tabac
1568,30177259,traitement immunosuppresseur
1569,30880038,deep vein thrombosis
1570,30880038,goiter
1571,30880038,upper-extremity
1573,30180972,adolescent
1574,30180972,carbimazole
1575,30180972,child
1576,30180972,chirurgie
1577,30180972,enfant
1578,30180972,graves’ disease
1579,30180972,hyperthyroidism
1580,30180972,hyperthyroïdie
1581,30180972,iode radioactif
1582,30180972,long term
1583,30180972,long terme
1584,30180972,maladie de basedow
1585,30180972,prognosis
1586,30180972,pronostic
1587,30180972,radioactive iodine treatment
1588,30180972,surgery
1589,30180972,thiamazole
1590,30017236,computed tomography
1591,30017236,retrosternal goiter
1592,30017236,sternotomy
1593,30017236,thyroidectomy
1594,30778906,fine arts
1595,30778906,goiter
1596,30778906,history
1597,30778906,moretto da brescia
1598,30778906,renaissance
1600,31614658,goiter
1601,31614658,iodine deficiency
1602,31614658,iodine prophylaxis
1603,31614658,urinary iodine concentration cois
1606,30055961,neck approach
1607,30055961,sternotomy
1608,30055961,substernal goiter
1609,30055961,tertiary center
1610,30055961,thyroidectomy
1612,31552848,goiter
1613,31552848,iodine
1614,31552848,reproductive age
1615,31552848,salt iodine
1616,31552848,urinary iodine
1617,31552848,women cois
1618,31691192,iodine
1619,31691192,nodular goiter
1620,31691192,selenium
1621,31691192,thyroid gland
1622,31691192,thyroid hormones
1625,30803411,*longterm
1626,30803411,*methimazole
1627,30803411,*radioiodine
1628,30803411,*toxic multinodular goiter
1629,31074402,cervico-mediastinal goiter
1630,31074402,sternotomy
1631,31074402,thyroidectomy
1632,31074402,thyroiditis cois
1634,30900322,microwave
1635,30900322,substernal goiter
1636,30900322,thermal ablation
1637,30900322,thyroid
1638,30900322,ultrasound
1640,31447477,coronary artery
1641,31447477,ectopic goiter
1642,31447477,intrapericardial tumor
1643,31447477,thyroid tissue
1644,30694184,*endocrine disruptor
1645,30694184,*goiter
1646,30694184,*groundwater
1647,30694184,*subclinical hypothyroidism
1649,31270773,*art
1650,31270773,*goiter
1651,31270773,*history of medicine
1652,31270773,*thyroid
1654,31376092,genetic interaction analysis
1655,31376092,goiter
1656,31376092,hif-1α
1657,31376092,multifactor dimensionality reduction methodology
1658,31376092,polymorphisms
1659,31376092,vegf
1660,31376092,vegfr-2
1661,31668873,*adipocyte complement factors
1662,31668873,*adipokines
1663,31668873,*brown fat commitment
1664,31668873,*brown fat differentiation
1665,31668873,*extracellular matrix proteins
1666,31668873,*human batokines
1667,31668873,*human brown adipocytes
1668,31668873,*human brown fat
1669,31668873,*mitochondria
1670,31668873,*secretomics
1674,28840845,*sternotomy
1675,28840845,*computerized tomography
1676,28840845,*retrosternal goiter substernal.
1677,28840845,*surgery
1678,28840845,*thyroid
1679,28840845,*thyroidectomy
1681,29897006,*copy-number variation
1682,29897006,*genome-wide linkage analysis
1683,29897006,*multinodular goiter
1684,29897006,*next-generation sequencing
1685,29315620,amyloid goiter
1686,29315620,subacute thyroiditis
1687,29315620,thyroid
1688,29315620,ultrasonography
1689,30146569,*fdg-pet
1690,30146569,*hashimoto's thyroiditis
1691,30146569,*malignant lymphoma cois
1693,30306416,advances
1694,30306416,decade
1695,30306416,thyroid cois
1700,30141079,artificial pneumothorax
1701,30141079,carina
1702,30141079,mediastinal goiter
1703,30141079,prone position
1704,30141079,two-lung ventilation
1706,29310524,*art
1707,29310524,*goiter
1708,29310524,*sculptures
1709,31030636,*french-canadian
1710,31030636,*airway compromise
1711,31030636,*congenital hypothyroidism
1712,31030636,*dyshormonogenesis
1713,31811573,colloid goiter
1714,31811573,metals
1715,31811573,oxidative stress
1716,31811573,papillary thyroid carcinoma
1717,31285663,*dicer1
1718,31285663,*sertoli–leydig
1719,31285663,*genetic mutation
1720,31285663,*microrna
1721,31285663,*multinodular goiter
1722,31285663,"*sex cord–stromal tumour cois policy on disclosing conflicts of interest, and we declare that we have none."
1723,29275168,*goiter
1724,29275168,*hypothyroidism
