index,nct_id,location,continent,iso
0,NCT00001159,United States,North America,USA
12,NCT00209235,United States,North America,USA
15,NCT00381641,United States,North America,USA
17,NCT00390325,United States,North America,USA
19,NCT00415233,United Kingdom,Europe,GBR
22,NCT00556530,United States,North America,USA
26,NCT00768820,Israel,Middle East,ISR
29,NCT01005654,United States,North America,USA
35,NCT01109420,United States,North America,USA
46,NCT01539486,United States,North America,USA
48,NCT01611896,Denmark,Europe,DNK
49,NCT01638533,Canada,North America,CAN
49,NCT01638533,United States,North America,USA
51,NCT01704586,Germany,Europe,DEU
59,NCT01821781,United States,North America,USA
60,NCT01837745,France,Europe,FRA
71,NCT02041260,United States,North America,USA
72,NCT02061111,Denmark,Europe,DNK
74,NCT02143726,United States,North America,USA
78,NCT02147782,China,East Asia,CHN
82,NCT02152995,United States,North America,USA
89,NCT02203682,China,East Asia,CHN
93,NCT02210741,Taiwan,East Asia,TWN
97,NCT02378298,Sweden,Europe,SWE
102,NCT02393690,United States,North America,USA
105,NCT02430584,United States,North America,USA
106,NCT02432274,France,Europe,FRA
106,NCT02432274,Germany,Europe,DEU
106,NCT02432274,Italy,Europe,ITA
106,NCT02432274,Spain,Europe,ESP
106,NCT02432274,United Kingdom,Europe,GBR
106,NCT02432274,United States,North America,USA
109,NCT02440581,United States,North America,USA
115,NCT02609685,United States,North America,USA
118,NCT02681328,United States,North America,USA
125,NCT02839655,France,Europe,FRA
128,NCT02859896,Chile,South America,CHL
128,NCT02859896,United States,North America,USA
137,NCT02973997,United States,North America,USA
138,NCT03012620,France,Europe,FRA
140,NCT03013257,Hong Kong,East Asia,HKG
147,NCT03051126,United States,North America,USA
154,NCT03093909,United States,North America,USA
160,NCT03105648,Taiwan,East Asia,TWN
161,NCT03109847,United States,North America,USA
163,NCT03122496,United States,North America,USA
165,NCT03122847,Denmark,Europe,DNK
169,NCT03131726,Sweden,Europe,SWE
174,NCT03162627,United States,North America,USA
180,NCT03244956,France,Europe,FRA
183,NCT03249012,Canada,North America,CAN
185,NCT03271892,Canada,North America,CAN
186,NCT03274258,United States,North America,USA
190,NCT03285854,United Kingdom,Europe,GBR
192,NCT03300284,United States,North America,USA
194,NCT03309384,France,Europe,FRA
202,NCT03375359,Germany,Europe,DEU
205,NCT03382158,United States,North America,USA
207,NCT03395925,Germany,Europe,DEU
208,NCT03420963,United States,North America,USA
210,NCT03435952,United States,North America,USA
212,NCT03440697,United States,North America,USA
221,NCT03498183,France,Europe,FRA
223,NCT03515863,China,East Asia,CHN
229,NCT03517579,United States,North America,USA
236,NCT03574051,China,East Asia,CHN
239,NCT03602261,United States,North America,USA
250,NCT03643081,France,Europe,FRA
251,NCT03646383,France,Europe,FRA
259,NCT03676647,United States,North America,USA
262,NCT03708627,United States,North America,USA
271,NCT03724188,Egypt,Africa,EGY
272,NCT03732495,France,Europe,FRA
274,NCT03753919,Spain,Europe,ESP
279,NCT03808779,China,East Asia,CHN
279,NCT03808779,Ukraine,Europe,UKR
290,NCT03830242,China,East Asia,CHN
295,NCT03866382,Puerto Rico,Central America,PRI
295,NCT03866382,United States,North America,USA
298,NCT03872284,France,Europe,FRA
300,NCT03878953,Japan,East Asia,JPN
304,NCT03896958,United States,North America,USA
308,NCT03924804,China,East Asia,CHN
320,NCT03960437,United States,North America,USA
323,NCT03960554,United States,North America,USA
332,NCT03980132,Spain,Europe,ESP
335,NCT03986593,Brazil,South America,BRA
342,NCT04009863,Hong Kong,East Asia,HKG
349,NCT04019379,United States,North America,USA
351,NCT04028479,United States,North America,USA
353,NCT04031638,France,Europe,FRA
355,NCT04040946,France,Europe,FRA
359,NCT04046354,China,East Asia,CHN
366,NCT04064827,Puerto Rico,Central America,PRI
366,NCT04064827,United States,North America,USA
369,NCT04075851,China,East Asia,CHN
373,NCT04080505,United States,North America,USA
380,NCT04129281,Italy,Europe,ITA
384,NCT04135573,China,East Asia,CHN
390,NCT04171622,United States,North America,USA
392,NCT04193332,Denmark,Europe,DNK
396,NCT04216732,United States,North America,USA
405,NCT04239521,United Kingdom,Europe,GBR
412,NCT04281875,United States,North America,USA
413,NCT04284774,Puerto Rico,Central America,PRI
413,NCT04284774,United States,North America,USA
415,NCT04288115,United States,North America,USA
416,NCT04288531,Portugal,Europe,PRT
418,NCT04298684,France,Europe,FRA
418,NCT04298684,Guadeloupe,Central America,GLP
418,NCT04298684,Réunion,Africa,REU
429,NCT04311606,United States,North America,USA
437,NCT04329455,Egypt,Africa,EGY
439,NCT04333342,"Korea, Republic of",East Asia,KOR
444,NCT04339205,France,Europe,FRA
449,NCT04359979,Israel,Middle East,ISR
453,NCT04373226,France,Europe,FRA
455,NCT04383795,"Korea, Republic of",East Asia,KOR
464,NCT04396912,Turkey,Middle East,TUR
467,NCT04410601,Turkey,Middle East,TUR
471,NCT04412694,Poland,Europe,POL
475,NCT04424485,Turkey,Middle East,TUR
478,NCT04458233,Israel,Middle East,ISR
483,NCT04463316,Netherlands,Europe,NLD
485,NCT04463719,United States,North America,USA
486,NCT04467021,United States,North America,USA
488,NCT04472026,United States,North America,USA
490,NCT04477798,China,East Asia,CHN
493,NCT04509011,Austria,Europe,AUT
493,NCT04509011,Norway,Europe,NOR
493,NCT04509011,Poland,Europe,POL
493,NCT04509011,Sweden,Europe,SWE
494,NCT04514484,United States,North America,USA
499,NCT04522622,Denmark,Europe,DNK
507,NCT04548284,China,East Asia,CHN
516,NCT04560127,China,East Asia,CHN
521,NCT04564924,China,East Asia,CHN
525,NCT04574947,Russian Federation,North Asia,RUS
535,NCT04583735,United States,North America,USA
541,NCT04598815,Italy,Europe,ITA
549,NCT04614389,United States,North America,USA
554,NCT04632524,Egypt,Africa,EGY
556,NCT04639388,France,Europe,FRA
560,NCT04647500,Switzerland,Europe,CHE
561,NCT04662190,Spain,Europe,ESP
565,NCT04663451,Belgium,Europe,BEL
569,NCT04666103,China,East Asia,CHN
572,NCT04671719,France,Europe,FRA
579,NCT04680650,China,East Asia,CHN
580,NCT04683575,China,East Asia,CHN
588,NCT04704414,Switzerland,Europe,CHE
593,NCT04708626,Sweden,Europe,SWE
598,NCT04714918,China,East Asia,CHN
600,NCT04730726,Netherlands,Europe,NLD
606,NCT04737330,Germany,Europe,DEU
624,NCT04776993,Italy,Europe,ITA
633,NCT04782856,United States,North America,USA
636,NCT04785443,France,Europe,FRA
647,NCT04809454,Pakistan,South Asia,PAK
651,NCT04823728,France,Europe,FRA
653,NCT04842994,India,South Asia,IND
657,NCT04846010,United States,North America,USA
660,NCT04856488,Sweden,Europe,SWE
671,NCT04876534,Italy,Europe,ITA
674,NCT04877613,United States,North America,USA
677,NCT04879173,"Korea, Republic of",East Asia,KOR
683,NCT04895631,United States,North America,USA
688,NCT04919694,China,East Asia,CHN
696,NCT04922892,China,East Asia,CHN
697,NCT04927416,United States,North America,USA
705,NCT04932135,Switzerland,Europe,CHE
713,NCT04942769,China,East Asia,CHN
724,NCT04953195,China,East Asia,CHN
726,NCT04969926,United States,North America,USA
738,NCT04988802,Croatia,Europe,HRV
743,NCT05002998,United States,North America,USA
749,NCT05007093,China,East Asia,CHN
751,NCT05012033,United Kingdom,Europe,GBR
756,NCT05015127,China,East Asia,CHN
762,NCT05017142,Switzerland,Europe,CHE
763,NCT05019118,Spain,Europe,ESP
775,NCT05043233,China,East Asia,CHN
780,NCT05049603,Italy,Europe,ITA
784,NCT05059470,United States,North America,USA
785,NCT05068687,Belgium,Europe,BEL
793,NCT05098600,Czechia,Europe,CZE
799,NCT05108298,United States,North America,USA
800,NCT05110040,China,East Asia,CHN
804,NCT05112211,China,East Asia,CHN
811,NCT05117853,Belgium,Europe,BEL
813,NCT05119296,United States,North America,USA
816,NCT05126147,Taiwan,East Asia,TWN
819,NCT05126706,"Korea, Republic of",East Asia,KOR
821,NCT05130476,Denmark,Europe,DNK
826,NCT05142904,Netherlands,Europe,NLD
831,NCT05149898,Australia,Pacifica,AUS
831,NCT05149898,United States,North America,USA
839,NCT05176639,United States,North America,USA
848,NCT05189314,United States,North America,USA
850,NCT05189808,United States,North America,USA
852,NCT05189821,United States,North America,USA
856,NCT05199103,Poland,Europe,POL
861,NCT05214274,China,East Asia,CHN
863,NCT05216718,"Korea, Republic of",East Asia,KOR
870,NCT05225883,France,Europe,FRA
873,NCT05229341,United States,North America,USA
876,NCT05239221,Hungary,Europe,HUN
876,NCT05239221,Netherlands,Europe,NLD
895,NCT05264857,United States,North America,USA
909,NCT05280600,United Kingdom,Europe,GBR
912,NCT05290493,Canada,North America,CAN
912,NCT05290493,United States,North America,USA
913,NCT05299437,Italy,Europe,ITA
914,NCT05299632,United States,North America,USA
917,NCT05316922,Italy,Europe,ITA
918,NCT02378233,Sweden,Europe,SWE
919,NCT02742597,Canada,North America,CAN
920,NCT02789800,Canada,North America,CAN
922,NCT02966405,China,East Asia,CHN
923,NCT03149354,France,Europe,FRA
927,NCT03922087,China,East Asia,CHN
928,NCT03932487,China,East Asia,CHN
929,NCT04019509,Belgium,Europe,BEL
930,NCT04208503,Poland,Europe,POL
934,NCT04388956,Taiwan,East Asia,TWN
938,NCT04571736,France,Europe,FRA
939,NCT04585126,France,Europe,FRA
940,NCT04615988,United States,North America,USA
941,NCT04658524,Brazil,South America,BRA
943,NCT04708704,United States,North America,USA
