index,nct_id,intervention_types
9,NCT00001277,Drug
18,NCT00004048,Biological
18,NCT00004048,Drug
18,NCT00004048,Procedure
18,NCT00004048,Radiation
22,NCT00004074,Biological
25,NCT00004089,Biological
25,NCT00004089,Drug
25,NCT00004089,Procedure
25,NCT00004089,Radiation
27,NCT00004340,Drug
33,NCT00004660,Radiation
55,NCT00037635,Drug
57,NCT00042432,Drug
59,NCT00042653,Drug
64,NCT00053547,Drug
65,NCT00060242,Drug
66,NCT00061906,Drug
67,NCT00068497,Drug
74,NCT00073710,Drug
74,NCT00073710,Procedure
76,NCT00077103,Biological
76,NCT00077103,Drug
76,NCT00077103,Radiation
79,NCT00085293,Drug
79,NCT00085293,Radiation
79,NCT00085293,Biological
79,NCT00085293,Procedure
85,NCT00094484,Drug
87,NCT00095693,Drug
87,NCT00095693,Other
87,NCT00095693,Radiation
87,NCT00095693,Procedure
91,NCT00095836,Drug
93,NCT00098813,Drug
93,NCT00098813,Other
93,NCT00098813,Procedure
96,NCT00098852,Drug
97,NCT00100828,Drug
98,NCT00103155,Procedure
100,NCT00104871,Drug
104,NCT00108394,Drug
109,NCT00110929,Drug
115,NCT00117052,Drug
117,NCT00118248,Drug
120,NCT00123461,Drug
129,NCT00132431,Drug
130,NCT00134043,Drug
133,NCT00135304,Drug
137,NCT00145366,Drug
142,NCT00150111,Drug
142,NCT00150111,Biological
147,NCT00150124,Drug
152,NCT00150137,Drug
154,NCT00150150,Procedure
166,NCT00175149,Drug
171,NCT00189501,Drug
177,NCT00209235,Behavioral
178,NCT00211939,Drug
186,NCT00257920,Drug
191,NCT00261950,Drug
204,NCT00285467,Drug
211,NCT00287287,Drug
213,NCT00288522,Drug
217,NCT00288873,Drug
221,NCT00297297,Other
223,NCT00307840,Drug
226,NCT00316823,Genetic
226,NCT00316823,Other
226,NCT00316823,Procedure
228,NCT00322322,Drug
230,NCT00325104,Procedure
244,NCT00345839,Drug
245,NCT00348413,Drug
249,NCT00352170,Dietary Supplement
259,NCT00360074,Drug
262,NCT00364234,Device
274,NCT00381641,Other
274,NCT00381641,Drug
278,NCT00385983,Device
279,NCT00388297,Drug
281,NCT00390325,Drug
289,NCT00397475,Drug
291,NCT00400465,Procedure
300,NCT00415233,Biological
300,NCT00415233,Radiation
302,NCT00415584,Drug
304,NCT00416949,Device
309,NCT00418600,Drug
310,NCT00424151,Drug
314,NCT00430547,Drug
318,NCT00431496,Drug
321,NCT00432146,Drug
332,NCT00446329,Drug
341,NCT00454350,Drug
347,NCT00463021,Drug
351,NCT00469599,Drug
354,NCT00470496,Drug
354,NCT00470496,Procedure
368,NCT00498238,Drug
380,NCT00509483,Radiation
386,NCT00519896,Drug
393,NCT00525135,Drug
396,NCT00527085,Drug
399,NCT00528502,Drug
402,NCT00528788,Drug
403,NCT00531713,Drug
404,NCT00535561,Drug
407,NCT00537797,Other
408,NCT00537979,Drug
417,NCT00552253,Drug
424,NCT00559949,Other
424,NCT00559949,Drug
427,NCT00560300,Drug
435,NCT00571077,Device
436,NCT00571090,Procedure
441,NCT00576407,Biological
442,NCT00576836,Biological
442,NCT00576836,Other
445,NCT00579527,Biological
445,NCT00579527,Other
445,NCT00579527,Procedure
445,NCT00579527,Drug
446,NCT00579709,Biological
449,NCT00580320,Drug
455,NCT00587158,Drug
455,NCT00587158,Other
460,NCT00595335,Drug
467,NCT00601328,Drug
481,NCT00646282,Drug
484,NCT00651625,Device
485,NCT00654238,Drug
487,NCT00664430,Drug
494,NCT00667576,Drug
503,NCT00674154,Drug
505,NCT00677469,Drug
515,NCT00701805,Drug
522,NCT00729157,Radiation
522,NCT00729157,Other
522,NCT00729157,Procedure
522,NCT00729157,Biological
530,NCT00742716,Drug
540,NCT00752401,Drug
544,NCT00754442,Drug
546,NCT00768820,Drug
548,NCT00781417,Dietary Supplement
548,NCT00781417,Other
552,NCT00782366,Genetic
559,NCT00792857,Drug
565,NCT00796913,Other
572,NCT00803712,Drug
575,NCT00804830,Drug
580,NCT00823303,Drug
584,NCT00828347,Drug
587,NCT00849888,Biological
587,NCT00849888,Other
592,NCT00858104,Procedure
600,NCT00877981,Procedure
602,NCT00887107,Drug
606,NCT00888069,Drug
610,NCT00891813,Drug
614,NCT00902122,Drug
614,NCT00902122,Procedure
614,NCT00902122,Radiation
618,NCT00916955,Other
619,NCT00917189,Behavioral
621,NCT00917241,Drug
624,NCT00921050,Drug
627,NCT00928408,Drug
632,NCT00936650,Drug
636,NCT00936988,Drug
640,NCT00946296,Drug
653,NCT00958451,Drug
657,NCT00962221,Procedure
660,NCT00973336,Drug
665,NCT00975221,Drug
667,NCT00977080,Drug
672,NCT00982722,Drug
678,NCT00990704,Drug
683,NCT00999037,Drug
683,NCT00999037,Other
690,NCT01012414,Drug
694,NCT01025128,Drug
700,NCT01039818,Radiation
708,NCT01056419,Procedure
708,NCT01056419,Drug
715,NCT01060982,Device
727,NCT01083550,Other
737,NCT01087619,Procedure
738,NCT01089335,Procedure
745,NCT01100723,Other
748,NCT01101113,Drug
753,NCT01102127,Device
757,NCT01103206,Drug
759,NCT01103557,Procedure
763,NCT01106443,Procedure
767,NCT01114503,Drug
772,NCT01115543,Drug
774,NCT01118065,Drug
777,NCT01127503,Drug
781,NCT01134315,Drug
786,NCT01134549,Drug
789,NCT01134562,Drug
790,NCT01137097,Procedure
793,NCT01138475,Drug
804,NCT01153360,Drug
806,NCT01163565,Device
813,NCT01164176,Drug
813,NCT01164176,Other
816,NCT01167309,Drug
818,NCT01171690,Drug
822,NCT01178450,Procedure
822,NCT01178450,Drug
823,NCT01181531,Drug
826,NCT01182285,Drug
837,NCT01208051,Drug
837,NCT01208051,Other
842,NCT01219855,Drug
845,NCT01220050,Drug
848,NCT01222026,Drug
856,NCT01225016,Drug
860,NCT01226914,Drug
869,NCT01229865,Drug
875,NCT01254565,Drug
884,NCT01269749,Radiation
884,NCT01269749,Drug
894,NCT01272414,Drug
903,NCT01280214,Drug
909,NCT01286753,Drug
911,NCT01290029,Drug
913,NCT01291498,Device
917,NCT01295333,Drug
922,NCT01297699,Drug
928,NCT01306656,Drug
928,NCT01306656,Other
928,NCT01306656,Dietary Supplement
935,NCT01308320,Drug
939,NCT01320813,Procedure
950,NCT01329666,Dietary Supplement
953,NCT01335802,Genetic
954,NCT01335828,Device
958,NCT01341782,Drug
960,NCT01341886,Drug
978,NCT01379196,Drug
983,NCT01382212,Drug
991,NCT01395134,Device
992,NCT01396733,Drug
1000,NCT01408368,Procedure
1008,NCT01413113,Drug
1008,NCT01413113,Radiation
1011,NCT01414114,Drug
1017,NCT01421407,Device
1019,NCT01426724,Drug
1028,NCT01436994,Procedure
1028,NCT01436994,Drug
1032,NCT01439867,Drug
1038,NCT01447368,Drug
1038,NCT01447368,Procedure
1041,NCT01453634,Drug
1046,NCT01458600,Drug
1050,NCT01460030,Drug
1056,NCT01465867,Dietary Supplement
1056,NCT01465867,Other
1057,NCT01471288,Drug
