id,nct_id,status,name,city,state,zip,country
34157232,NCT02397109,,Fondation Ophtalmologique Adolphe de Rothschild,Paris,Ile De France,75019,France
34698658,NCT04623801,Recruiting,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States
34156944,NCT02398721,,Queen Mary Hospital,Hong Kong,,,Hong Kong
34702335,NCT00823303,,Northwestern University,Chicago,Illinois,60611,United States
34702336,NCT00823303,,Northshore University Health System,Evanston,Illinois,60201,United States
34702337,NCT00823303,,Henry Ford Hospital,Detroit,Michigan,48202,United States
34702338,NCT00823303,,Washington University,St. Louis,Missouri,63110,United States
36834395,NCT02697578,,Hospital Universitario Reina Sofía,Córdoba,,14004,Spain
36294689,NCT03475953,Recruiting,Institut de Cancérologie de Montpellier,Montpellier,,34298,France
34703740,NCT00828347,,Kumamoto University Hospital,Kumamoto,,860-8556,Japan
36294690,NCT03475953,Not yet recruiting,Institut Curie,Paris,,75248,France
36294691,NCT03475953,Recruiting,IUCT Oncopôle - Institut Claudius Regaud,Toulouse,,31059,France
36294692,NCT03475953,Recruiting,Institut Gustave Roussy,Villejuif,,94800,France
36298242,NCT05151120,,Service D'endocrinologie - Hôpital Louis Pradel - Hospices Civils de Lyon,Bron,,69 677,France
36297721,NCT02609685,Recruiting,Cedars-Sinai Medical Center,Los Angeles,California,90048,United States
36297845,NCT02178345,,Memorial Sloan Kettering Cancer Center,New York,New York,10065,United States
36294686,NCT03475953,Recruiting,Institut Bergonié,Bordeaux,,33076,France
36294687,NCT03475953,Recruiting,Centre Hospitalier Régional Universitaire - CHU Morvan,Brest,,29200,France
36294688,NCT03475953,Recruiting,Centre Léon Bérard,Lyon,,69008,France
36296345,NCT05068687,Recruiting,Ghent University Hospital,Ghent,,B-9000,Belgium
36296624,NCT04544111,Recruiting,Memoral Sloan Kettering Basking Ridge (Limited Protocol Activities),Basking Ridge,New Jersey,07920,United States
36296625,NCT04544111,Recruiting,Memoral Sloan Kettering Monmouth (Limited protocol activities),Middletown,New Jersey,07748,United States
36296626,NCT04544111,Recruiting,Memorial Sloan Kettering Bergen (Limited Protocol Activities),Montvale,New Jersey,07645,United States
36296627,NCT04544111,Recruiting,Memorial Sloan Kettering Cancer Center @ Suffolk - Commack (Limited Protocol Activities),Commack,New York,11725,United States
36296628,NCT04544111,Recruiting,Memoral Sloan Kettering Westchester (Limited protocol activities),Harrison,New York,10604,United States
36296629,NCT04544111,Recruiting,Memorial Sloan Kettering Cancer Center (All Protocol Activities),New York,New York,10065,United States
36296630,NCT04544111,Recruiting,Memorial Sloan Kettering Nassau (Limited protocol activities),Rockville Centre,New York,11553,United States
36298243,NCT05151120,,Service de Médecine Nucléaire - Hôpital Louis Pradel - Hospices Civils de Lyon,Bron,,69 677,France
36298359,NCT05015127,Recruiting,"Shanghai Ninth People's Hospital, Shanghai Jiaotong University School of Medicine",Shanghai,Shanghai,200011,China
34158623,NCT02390934,,Gustave Roussy,Villejuif,Val De Marne,94805,France
34159720,NCT02384668,,"Department of Endocrinology and Internal Medicine, Aarhus University Hospital",Aarhus C,,8000,Denmark
34159721,NCT02384668,,Gentofte Hospital,Gentofte,,2900,Denmark
34159722,NCT02384668,,"Department of Internal Medicine, Regionshospitalet Herning",Herning,,7400,Denmark
34159723,NCT02384668,,"Department of Internal Medicine, Regionshospitalet Holstebro",Holstebro,,7500,Denmark
34159724,NCT02384668,,"Department of Internal Medicine, Regionshospitalet Horsens",Horsens,,8700,Denmark
34159725,NCT02384668,,"Department of Internal Medicine, Regionhospitalet Randers",Randers,,8930,Denmark
34159726,NCT02384668,,"Department of Internal Medicine, Diagnostisk Center, Regionshospitalet Silkeborg",Silkeborg,,8600,Denmark
34159727,NCT02384668,,"Department of Internal Medicine, Regionshospitalet Viborg",Viborg,,8800,Denmark
34160004,NCT02383927,,Centre Antoine Lacassagne,Nice,,,France
36299918,NCT02988817,,Mayo Clinic Scottsdale,Phoenix,Arizona,85054,United States
36299919,NCT02988817,,University of Colorado Cancer Center,Aurora,Colorado,80045,United States
36299920,NCT02988817,,"Yale University, Smilow Cancer Center at Yale New Haven Hospital",New Haven,Connecticut,06520,United States
36299921,NCT02988817,,Mayo Clinic Jacksonville,Jacksonville,Florida,32224,United States
36299922,NCT02988817,,Moffitt Cancer Center,Tampa,Florida,33612,United States
36299923,NCT02988817,,"Emory University School of Medicine, Winship Cancer Institute",Atlanta,Georgia,30322,United States
36299924,NCT02988817,,University of Iowa,Iowa City,Iowa,52242,United States
36299925,NCT02988817,,Dana-Farber Cancer Institute,Boston,Massachusetts,02115,United States
36299926,NCT02988817,,University of Michigan Comprehensive Cancer Center,Ann Arbor,Michigan,48109,United States
36299927,NCT02988817,,Mayo Clinic Rochester,Rochester,Minnesota,55905,United States
36299928,NCT02988817,,Washington University,Saint Louis,Missouri,63110,United States
36299929,NCT02988817,,Roswell Park Comprehensive Cancer Center,Buffalo,New York,14263,United States
36299930,NCT02988817,,NYU Medical Center,New York,New York,10016,United States
36299931,NCT02988817,,Herbert Irving Comprehensive Cancer Center,New York,New York,10034,United States
36299932,NCT02988817,,Duke Cancer Institute,Durham,North Carolina,27701,United States
36299933,NCT02988817,,Fox Chase Cancer Center,Philadelphia,Pennsylvania,19111,United States
36299934,NCT02988817,,Mary Crowley Cancer Reearch Center,Dallas,Texas,75230,United States
36299935,NCT02988817,,MD Anderson,Houston,Texas,77030,United States
36299936,NCT02988817,,Huntsman Cancer Institute,Salt Lake City,Utah,84103,United States
36299937,NCT02988817,,University of Wisconsin Carbone Cancer Center,Madison,Wisconsin,53792,United States
36299938,NCT02988817,,Universitair Ziekenhuizen Leuven,Leuven,Flemish Brabant,3000,Belgium
36299939,NCT02988817,,Institut Roi Albert II - Cliniques Universitaires Saint Luc,Bruxelles,,1200,Belgium
36299940,NCT02988817,,Universitair Ziekenhuis Brussel - Oncologisch Centrum,Jette,,1090,Belgium
36299941,NCT02988817,,"Medische oncologie, Oncologisch Centrum - AZ Groeninge",Kortrijk,,8500,Belgium
36299942,NCT02988817,,"U.Z. Leuven Gasthuisberg, Department of General Medical Oncology",Leuven,,3000,Belgium
36299943,NCT02988817,,"CHU de Liège, Medical Oncology et. Domaine Universitaire du Sart Tilman",Liege,,4000,Belgium
36299944,NCT02988817,,"Rigshospitalet, Copenhagen University Hospital",Copenhagen,,DK-2100,Denmark
36299945,NCT02988817,,The Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital,Amsterdam,,1066,Netherlands
36299946,NCT02988817,,Leiden University Medical Centre,Leiden,,2333,Netherlands
36299947,NCT02988817,,"Erasmus MC, Medical Oncology",Rotterdam,,3015,Netherlands
36299948,NCT02988817,,UMC Utrecht Cancer Center,Utrecht,,3584,Netherlands
36299949,NCT02988817,,Hospital Unversitario Vall D'hebron,Barcelona,,08035,Spain
36299950,NCT02988817,,Oncologia Mèdica/ Medical Oncology Department Institut Catalá d'Oncologia (ICO),Barcelona,,08909,Spain
36299951,NCT02988817,,University Hospital of Girona,Girona,,17007,Spain
36299952,NCT02988817,,Hospital Universitario 12 Octubre,Madrid,,28041,Spain
36299953,NCT02988817,,Hospital Virgen de la Victoria,Málaga,,29016,Spain
36299954,NCT02988817,,"University Hospital Lozano Blesa, Aragón Health Research Institute (IIS Aragón)",Zaragoza,,50009,Spain
36299955,NCT02988817,,Universtity College London Hospitals,London,,NW1 2PG,United Kingdom
36299956,NCT02988817,,The Royal Marsden NHS Foundation Trust,London,,SM2 5PT,United Kingdom
36299957,NCT02988817,,The Christie NHS Foundation Trust Clinical Trials Unit,Manchester,,M20 4BX,United Kingdom
36299958,NCT02988817,,"Sir Bobby Robson Clinical Trials Unit at the Northern Centre for Cancer Care, Freeman Hospital",Newcastle,,NE7 7DN,United Kingdom
34160005,NCT02383927,,Institute Gustave Roussy (IGR),Paris,,,France
34160006,NCT02383927,,University Hospital Wuerazburg,Würzburg,,,Germany
34160007,NCT02383927,,Attikon University Hospital,Attikí,,,Greece
34160008,NCT02383927,,Instituto Nazionale Tumori,Milan,,,Italy
34160009,NCT02383927,,Asan Medical Center,Seoul,,,"Korea, Republic of"
34160010,NCT02383927,,Samsung Medical Center,Seoul,,,"Korea, Republic of"
