id,nct_id,agency_class,lead_or_collaborator,name,new_class
7982031,NCT04383795,OTHER,lead,Seoul St. Mary's Hospital,Health care Institution
7982631,NCT04376203,OTHER,lead,University of Ioannina,University
7982890,NCT04372225,OTHER,lead,Aix Marseille Université,Other
7984445,NCT04354324,OTHER,lead,Zhujiang Hospital,Health care Institution
7983994,NCT04359979,OTHER_GOV,lead,Sheba Medical Center,Health care Institution
7984409,NCT04354896,OTHER,lead,"University Hospital Inselspital, Berne",Health care Institution
7984410,NCT04354896,OTHER,collaborator,University of Lausanne Hospitals,Health care Institution
7984411,NCT04354896,OTHER,collaborator,Leiden University Medical Center,Health care Institution
7985055,NCT04346901,OTHER,lead,"Dr.dr.Irma Bernadette, SpKK (K)",Other
7985245,NCT04344886,OTHER,lead,University Hospital Ostrava,Health care Institution
7986174,NCT04333342,OTHER,lead,Seoul National University Bundang Hospital,Health care Institution
7985704,NCT04339127,OTHER,lead,Hospices Civils de Lyon,Health care Institution
8083283,NCT03530462,OTHER,lead,First Affiliated Hospital of Zhejiang University,Health care Institution
7985903,NCT04336696,OTHER_GOV,lead,Bassem Mohamed Sieda,Other
8083316,NCT03530033,OTHER,lead,"Bo Wang,MD",Other
8098950,NCT03382158,OTHER,lead,Children's Hospitals and Clinics of Minnesota,Health care Institution
8098951,NCT03382158,OTHER,collaborator,Children's National Research Institute,Other
8098952,NCT03382158,OTHER,collaborator,Washington University School of Medicine,University
8098953,NCT03382158,UNKNOWN,collaborator,"ResourcePath, LLC",Other
8098954,NCT03382158,OTHER,collaborator,Beijing Children's Hospital,Health care Institution
8098955,NCT03382158,OTHER,collaborator,University of Cambridge,University
8098956,NCT03382158,OTHER,collaborator,Emory University,University
8098957,NCT03382158,OTHER,collaborator,Dana-Farber Cancer Institute,Health care Institution
7985683,NCT04339478,OTHER,lead,Aristotle University Of Thessaloniki,University
7985684,NCT04339478,OTHER_GOV,collaborator,Umraniye Education and Research Hospital,Health care Institution
7985685,NCT04339478,OTHER,collaborator,The Hashemite University,University
7985692,NCT04339205,OTHER,lead,Hospices Civils de Lyon,Health care Institution
7986227,NCT04332770,OTHER,lead,Seoul National University Bundang Hospital,Health care Institution
7848986,NCT01263951,OTHER,lead,Thomas Jefferson University,University
7986459,NCT04329455,OTHER,lead,Assiut University,University
7848987,NCT01263951,INDUSTRY,collaborator,Bayer,Other
7848988,NCT01263951,INDUSTRY,collaborator,Novartis Pharmaceuticals,Other
7987865,NCT04312087,OTHER,lead,Fudan University,University
7986972,NCT04323007,OTHER,lead,Merna Makram,Other
7986973,NCT04323007,OTHER,collaborator,Assiut University,University
7987441,NCT04316845,OTHER,lead,Buddhist Tzu Chi General Hospital,Health care Institution
7987806,NCT04312646,OTHER,lead,Assiut University,University
7988106,NCT04309136,OTHER,lead,Fudan University,University
7989770,NCT04288531,OTHER,lead,University of Minho,University
7988953,NCT04298684,OTHER,lead,Centre Hospitalier Universitaire de Pointe-a-Pitre,Health care Institution
8114841,NCT03226171,INDUSTRY,lead,"Sanwa Kagaku Kenkyusho Co., Ltd.",Industry
7988405,NCT04304794,OTHER,lead,Medical University of Warsaw,University
7988406,NCT04304794,OTHER,collaborator,"Institute of Cardiology, Warsaw, Poland",Other
