Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,9582413,NCT05126147,OTHER,lead,National Taiwan University Hospital,Health care Institution
1,9582295,NCT02203682,OTHER,lead,Sun Yat-sen University,University
2,9582415,NCT05126108,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
3,9582466,NCT05124938,OTHER,lead,Sohag University,University
4,9685744,NCT01134315,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
5,9583061,NCT03449108,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
6,9583062,NCT03449108,INDUSTRY,collaborator,"Iovance Biotherapeutics, Inc.",Industry
7,9583063,NCT03449108,NIH,collaborator,National Cancer Institute (NCI),Government Agency
8,9685507,NCT00849888,INDUSTRY,lead,Enzyvant Therapeutics GmBH,Other
9,9685508,NCT00849888,NIH,collaborator,National Institutes of Health (NIH),Government Agency
10,9685509,NCT00849888,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Government Agency
11,9685510,NCT00849888,NIH,collaborator,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Government Agency
12,9685537,NCT01126060,OTHER,lead,Samsung Medical Center,Health care Institution
13,9582381,NCT05126706,OTHER,lead,Seoul National University Hospital,Health care Institution
14,9583098,NCT03131726,OTHER,lead,Lund University,University
15,9314535,NCT03647358,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
16,9583918,NCT05130476,OTHER,lead,Odense University Hospital,Health care Institution
17,9685745,NCT01134315,UNKNOWN,collaborator,North America Pediatric Renal Trials and Collaborative Studies (NAPRTCS),Other
18,9685750,NCT01134549,INDUSTRY,lead,KAI Pharmaceuticals,Other
19,9685751,NCT01134549,OTHER,collaborator,Nucleus Network Ltd,Other
20,9685752,NCT01134562,INDUSTRY,lead,KAI Pharmaceuticals,Other
21,9685837,NCT01138475,OTHER,lead,"Kerstyn C. Zalesin, M.D.",Other
22,9685838,NCT01138475,INDUSTRY,collaborator,Abbott,Other
23,9181367,NCT01115543,OTHER,lead,Mahidol University,University
24,9585541,NCT02525796,OTHER,lead,Brigham and Women's Hospital,Health care Institution
25,9586361,NCT05182931,OTHER,lead,Olivia Newton-John Cancer Research Institute,Other
26,9586286,NCT05228184,INDUSTRY,lead,IBSA Institut Biochimique SA,Other
27,9586287,NCT05228184,INDUSTRY,collaborator,Cromsource,Other
28,9586362,NCT05182931,OTHER,collaborator,Royal North Shore Hospital,Health care Institution
29,9586363,NCT05182931,OTHER_GOV,collaborator,Austin Health,Other
30,9586364,NCT05182931,OTHER,collaborator,Sir Charles Gairdner Hospital,Health care Institution
31,9586365,NCT05182931,OTHER,collaborator,Monash Health,Other
32,9586366,NCT05182931,OTHER,collaborator,"Peter MacCallum Cancer Centre, Australia",Other
33,9586367,NCT05182931,OTHER_GOV,collaborator,Royal Brisbane and Women's Hospital,Health care Institution
34,9586368,NCT05182931,OTHER,collaborator,Eastern Health,Other
35,9586369,NCT05182931,OTHER,collaborator,The Alfred,Other
36,9447834,NCT03307694,OTHER,lead,Emory University,University
37,9700092,NCT01728623,INDUSTRY,lead,"Eisai Co., Ltd.",Industry
38,9587866,NCT03880578,OTHER,lead,Klinikum Lüdenscheid,Other
39,9587078,NCT04647500,OTHER,lead,"University of Geneva, Switzerland",University
40,9588626,NCT02393690,OTHER,lead,Academic and Community Cancer Research United,Other
41,9588059,NCT03633708,INDUSTRY,lead,Amgen,Other
42,9588627,NCT02393690,NIH,collaborator,National Cancer Institute (NCI),Government Agency
43,9686701,NCT01171690,OTHER,lead,Mayo Clinic,Health care Institution
44,9588724,NCT01964508,OTHER,lead,Hadassah Medical Organization,Other
45,9686982,NCT01181531,INDUSTRY,lead,Amgen,Other
46,9589328,NCT05119296,OTHER,lead,Stanford University,University
47,9589329,NCT05119296,INDUSTRY,collaborator,Merck Sharp & Dohme LLC,Other
48,9686998,NCT01182285,NIH,lead,National Cancer Institute (NCI),Government Agency
49,9591390,NCT05049603,OTHER,lead,University of Pisa,University
50,9591126,NCT05054634,OTHER,lead,Quironsalud,Other
51,9591275,NCT05052359,OTHER,lead,"National University Health System, Singapore",University
52,9314950,NCT04524884,OTHER,lead,Fudan University,University
53,9700236,NCT05316922,OTHER,lead,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",Other
54,9591391,NCT05049603,OTHER,collaborator,Università degli Studi dell'Insubria,Other
55,9591392,NCT05049603,OTHER,collaborator,University of Catania,University
56,9591393,NCT05049603,OTHER,collaborator,University of Messina,University
57,9591395,NCT05049551,OTHER,lead,Centre Hospitalier Princesse Grace,Health care Institution
58,9314966,NCT04523974,OTHER,lead,Shanghai Zhongshan Hospital,Health care Institution
59,9591801,NCT05043233,OTHER,lead,Shanghai Jiao Tong University School of Medicine,University
60,9687308,NCT01191762,INDIV,lead,"Kenneth R. Phelps, M.D.",Other
61,9687309,NCT01191762,INDUSTRY,collaborator,"Genzyme, a Sanofi Company",Other
62,9592200,NCT05036525,INDUSTRY,lead,HAN Biomedical Inc,Other
63,9591775,NCT05043584,OTHER,lead,Regional Hospital West Jutland,Health care Institution
64,9591776,NCT05043584,OTHER,collaborator,Hospital of South West Jutland,Health care Institution
65,9592385,NCT05033496,OTHER_GOV,lead,Hillel Yaffe Medical Center,Health care Institution
66,9592946,NCT05025046,INDUSTRY,lead,Rigen Biotech,Other
67,9592947,NCT05025046,OTHER,collaborator,Tianjin Medical University Cancer Institute and Hospital,Health care Institution
68,9592948,NCT05025046,OTHER,collaborator,Guangdong Provincial People's Hospital,Health care Institution
69,9592949,NCT05025046,OTHER,collaborator,RenJi Hospital,Health care Institution
70,9592950,NCT05025046,OTHER,collaborator,Zhejiang Provincial People's Hospital,Health care Institution
71,9592951,NCT05025046,OTHER,collaborator,The First People's Hospital of Changzhou,Health care Institution
72,9592952,NCT05025046,OTHER,collaborator,Shenzhen People's Hospital,Health care Institution
73,9592953,NCT05025046,OTHER,collaborator,"Zhongshan People's Hospital, Guangdong, China",Health care Institution
74,9406969,NCT03667157,OTHER,lead,Medical University of Warsaw,University
75,9593295,NCT05019118,INDUSTRY,lead,Cooperativas Lacteas Unidas,Other
76,9593296,NCT05019118,NETWORK,collaborator,Galician South Health Research Institute,Other
77,9593535,NCT05015725,OTHER,lead,Semmelweis University,University
78,9593440,NCT05017142,OTHER,lead,University of Bern,University
79,9593441,NCT05017142,UNKNOWN,collaborator,Schweizerische Multiple Sklerose Gesellschaft,Other
80,9593442,NCT05017142,OTHER,collaborator,"University Hospital Inselspital, Berne",Health care Institution
81,9593443,NCT05017142,UNKNOWN,collaborator,Roche Pharma (Switzerland) Ltd,Other
82,9593444,NCT05017142,INDUSTRY,collaborator,Novartis,Other
83,9687759,NCT01208051,NIH,lead,National Cancer Institute (NCI),Government Agency
84,9315094,NCT04522622,OTHER,lead,Ditte Hansen,Other
85,9593869,NCT05012033,OTHER,lead,Imperial College London,Other
86,9270560,NCT01994200,OTHER,lead,Jewish General Hospital,Health care Institution
87,9270561,NCT01994200,INDUSTRY,collaborator,"Genzyme, a Sanofi Company",Other
88,9315098,NCT04522622,OTHER,collaborator,Universiteit Antwerpen,Other
89,9315095,NCT04522622,OTHER,collaborator,Odense University Hospital,Health care Institution
90,9594384,NCT05003856,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
91,9315096,NCT04522622,OTHER,collaborator,Steno Diabetes Center Copenhagen,Other
92,9315097,NCT04522622,OTHER,collaborator,"Rigshospitalet, Denmark",Health care Institution
93,9594714,NCT04998968,OTHER,lead,Uppsala University,University
94,9688074,NCT01219855,INDUSTRY,lead,"OPKO Health, Inc.",Industry
95,9315112,NCT04522570,OTHER,lead,Instituto do Cancer do Estado de São Paulo,Other
96,9688197,NCT01224782,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
97,9181571,NCT01118065,OTHER,lead,Leiden University Medical Center,Health care Institution
