Unnamed: 0,nct_id,downcase_mesh_term,official_title,brief_title,all_conditions,study_first_submitted_date,primary_completion_date,completion_date,enrollment,observational_model,intervention_model,time_perspective,study_type,overall_status,study_phases,funded_bys,sponsors_name,investigators,intervention_types,location,minimum_age_num,maximum_age_num,category_age,category,sub_category,URL
0,NCT00001159,hypothyroidism,Evaluation of Patients With Thyroid Function Disorders,Evaluation of Patients With Thyroid Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,2500.0,Case-Only,,Retrospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Hypothyroidism,Hypothyroidism,https://clinicaltrials.gov/ct2/show/NCT00001159
1,NCT00001159,graves disease,Evaluation of Patients With Thyroid Function Disorders,Evaluation of Patients With Thyroid Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,2500.0,Case-Only,,Retrospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Hyperthyroidism,Graves' disease,https://clinicaltrials.gov/ct2/show/NCT00001159
2,NCT00001159,goiter,Evaluation of Patients With Thyroid Function Disorders,Evaluation of Patients With Thyroid Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,2500.0,Case-Only,,Retrospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Goiter,Goiter,https://clinicaltrials.gov/ct2/show/NCT00001159
3,NCT00001159,hyperthyroidism,Evaluation of Patients With Thyroid Function Disorders,Evaluation of Patients With Thyroid Disorders,Grave's Disease|Hyperthyroidism|Hypothyroidism,1999-11-03,,,2500.0,Case-Only,,Retrospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Hyperthyroidism,Hyperthyroidism,https://clinicaltrials.gov/ct2/show/NCT00001159
4,NCT00001160,"adenocarcinoma, follicular",Studies on Thyroid Nodules and Thyroid Cancer,Studies on Tumors of the Thyroid,Follicular Thyroid Cancer|Hurthle Cell Thyroid Cancer|Papillary Thyroid Cancer|Tall Cell Variant Thyroid Cancer|Thyroid Cancer,1999-11-03,,,2500.0,Case-Only,,Prospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institutes of Health Clinical Center,,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, follicular",https://clinicaltrials.gov/ct2/show/NCT00001160
5,NCT00001160,"thyroid cancer, papillary",Studies on Thyroid Nodules and Thyroid Cancer,Studies on Tumors of the Thyroid,Follicular Thyroid Cancer|Hurthle Cell Thyroid Cancer|Papillary Thyroid Cancer|Tall Cell Variant Thyroid Cancer|Thyroid Cancer,1999-11-03,,,2500.0,Case-Only,,Prospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institutes of Health Clinical Center,,United States,6.0,120.0,[0-17]|[18-65]|[65 and more],Thyroid neoplasms,"Thyroid cancer, papillary",https://clinicaltrials.gov/ct2/show/NCT00001160
8,NCT00001242,pseudopseudohypoparathyroidism,Studies of States With Resistance to Vitamin D and Parathyroid Hormone,Studies of States With Resistance to Vitamin D and Parathyroid Hormone,Hypocalcemia|Osteomalacia|Pseudohypoparathyroidism|Pseudopseudohpoparathyroidism|Rickets,1999-11-03,,,3000.0,Cohort,,Prospective,Observational,Recruiting,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,United States,2.0,100.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,pseudohypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00001242
9,NCT00001277,hyperparathyroidism,Studies of Hyperparathyroidism and Related Disorders,Studies of Elevated Parathyroid Activity,Hypercalcemia|Hyperparathyroidism|MEN1|Multiple Endocrine Neoplasia|Parathyroid Neoplasm,1999-11-03,2020-03-11,2020-12-23,1553.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Drug|Drug,United States,2.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Hyperparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00001277
10,NCT00001277,parathyroid neoplasms,Studies of Hyperparathyroidism and Related Disorders,Studies of Elevated Parathyroid Activity,Hypercalcemia|Hyperparathyroidism|MEN1|Multiple Endocrine Neoplasia|Parathyroid Neoplasm,1999-11-03,2020-03-11,2020-12-23,1553.0,,Single Group Assignment,,Interventional,Completed,Not Applicable,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Drug|Drug,United States,2.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Parathyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00001277
13,NCT00001304,hypoparathyroidism,Treatment of Hypoparathyroidism With Synthetic Human Parathyroid Hormone 1-34,Treatment of Hypoparathyroidism With Synthetic Human Parathyroid Hormone 1-34,Hypoparathyroidism,1999-11-03,2014-03-31,2014-04-30,27.0,,Parallel Assignment,,Interventional,Completed,Phase 2,National Institutes of Health Clinical Center (CC),Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Drug|Drug,United States,17.0,69.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Hypoparathyroidism,https://clinicaltrials.gov/ct2/show/NCT00001304
14,NCT00001394,parathyroid neoplasms,Use of Hypocalcemic Intraarterial Infusion Into the Thyroid/Parathyroid Bed to Localize Occult Parathyroid Adenomas,Using X-Ray Dye to Locate Hidden Parathyroid Tumors,Parathyroid Neoplasms,1999-11-03,,2005-07-31,150.0,,,,Observational,Completed,,National Institutes of Health Clinical Center (CC),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,United States,0.0,120.0,[0-17]|[18-65]|[65 and more],Parathyroid diseases,Parathyroid cancer,https://clinicaltrials.gov/ct2/show/NCT00001394
