nct_id,location,continent,iso
NCT00001159,United States,North America,USA
NCT00001277,United States,North America,USA
NCT00004048,United States,North America,USA
NCT00004074,United States,North America,USA
NCT00004089,United States,North America,USA
NCT00004340,United States,North America,USA
NCT00004351,United States,North America,USA
NCT00004660,United States,North America,USA
NCT00005102,United States,North America,USA
NCT00037193,United States,North America,USA
NCT00053547,United States,North America,USA
NCT00060242,United States,North America,USA
NCT00061906,United States,North America,USA
NCT00068497,United States,North America,USA
NCT00073710,United States,North America,USA
NCT00077103,United States,North America,USA
NCT00085293,United States,North America,USA
NCT00095693,United States,North America,USA
NCT00095836,United States,North America,USA
NCT00098813,United States,North America,USA
NCT00098852,United States,North America,USA
NCT00100828,United States,North America,USA
NCT00103155,United States,North America,USA
NCT00104871,United States,North America,USA
NCT00105274,United States,North America,USA
NCT00108394,United States,North America,USA
NCT00118248,United States,North America,USA
NCT00123461,Puerto Rico,Central America,PRI
NCT00123461,United States,North America,USA
NCT00134043,United States,North America,USA
NCT00145366,Denmark,Europe,DNK
NCT00147433,United States,North America,USA
NCT00150111,Denmark,Europe,DNK
NCT00150124,Denmark,Europe,DNK
NCT00150137,Denmark,Europe,DNK
NCT00150150,Denmark,Europe,DNK
NCT00161109,Netherlands,Europe,NLD
NCT00161109,United States,North America,USA
NCT00174057,Taiwan,East Asia,TWN
NCT00175149,Denmark,Europe,DNK
NCT00209235,United States,North America,USA
NCT00211939,United States,North America,USA
NCT00213720,France,Europe,FRA
NCT00257920,United States,North America,USA
NCT00261950,Belgium,Europe,BEL
NCT00261950,Czech Republic,Europe,CZE
NCT00261950,Hungary,Europe,HUN
NCT00261950,Italy,Europe,ITA
NCT00261950,"Macedonia, The Former Yugoslav Republic of",Europe,MKD
NCT00261950,Poland,Europe,POL
NCT00261950,Portugal,Europe,PRT
NCT00261950,Spain,Europe,ESP
NCT00261950,Switzerland,Europe,CHE
NCT00261950,Turkey,Middle East,TUR
NCT00261950,United Kingdom,Europe,GBR
NCT00261950,United States,North America,USA
NCT00278005,United States,North America,USA
NCT00285467,United States,North America,USA
NCT00287144,Norway,Europe,NOR
NCT00287287,United States,North America,USA
NCT00288522,Spain,Europe,ESP
NCT00288873,United States,North America,USA
NCT00297297,Denmark,Europe,DNK
NCT00316823,United States,North America,USA
NCT00322322,France,Europe,FRA
NCT00325104,United States,North America,USA
NCT00335062,United States,North America,USA
NCT00342641,United States,North America,USA
NCT00348413,Singapore,Southeast Asia,SGP
NCT00360074,Germany,Europe,DEU
NCT00364234,United States,North America,USA
NCT00374712,France,Europe,FRA
NCT00381641,United States,North America,USA
NCT00385983,Brazil,South America,BRA
NCT00388297,United States,North America,USA
NCT00390325,United States,North America,USA
