nct_id,category_age
NCT00001159,[0-17]
NCT00001159,[18-65]
NCT00001159,[65 and more]
NCT00001277,[0-17]
NCT00001277,[18-65]
NCT00001277,[65 and more]
NCT00004048,[0-17]
NCT00004048,[18-65]
NCT00004048,[65 and more]
NCT00004074,[18-65]
NCT00004074,[65 and more]
NCT00004089,[0-17]
NCT00004089,[18-65]
NCT00004089,[65 and more]
NCT00004340,[0-17]
NCT00004340,[18-65]
NCT00004351,[0-17]
NCT00004351,[18-65]
NCT00004351,[65 and more]
NCT00004660,[18-65]
NCT00004660,[65 and more]
NCT00005102,[0-17]
NCT00005102,[18-65]
NCT00005102,[65 and more]
NCT00037193,[18-65]
NCT00037193,[65 and more]
NCT00037635,[18-65]
NCT00037635,[65 and more]
NCT00042432,[18-65]
NCT00042432,[65 and more]
NCT00042653,[18-65]
NCT00042653,[65 and more]
NCT00053547,[0-17]
NCT00053547,[18-65]
NCT00060242,[18-65]
NCT00060242,[65 and more]
NCT00061906,[18-65]
NCT00061906,[65 and more]
NCT00068497,[0-17]
NCT00068497,[18-65]
NCT00068497,[65 and more]
NCT00073710,[18-65]
NCT00073710,[65 and more]
NCT00077103,[18-65]
NCT00077103,[65 and more]
NCT00085293,[18-65]
NCT00085293,[65 and more]
NCT00094484,[18-65]
NCT00094484,[65 and more]
NCT00095693,[18-65]
NCT00095693,[65 and more]
NCT00095836,[18-65]
NCT00095836,[65 and more]
NCT00098813,[18-65]
NCT00098813,[65 and more]
NCT00098852,[18-65]
NCT00098852,[65 and more]
NCT00100828,[18-65]
NCT00100828,[65 and more]
NCT00103155,[18-65]
NCT00103155,[65 and more]
NCT00104871,[18-65]
NCT00104871,[65 and more]
NCT00105274,[18-65]
NCT00108394,[18-65]
NCT00108394,[65 and more]
NCT00110929,[18-65]
NCT00110929,[65 and more]
NCT00117052,[18-65]
NCT00117052,[65 and more]
NCT00118248,[18-65]
NCT00118248,[65 and more]
NCT00123461,[18-65]
NCT00123461,[65 and more]
NCT00132431,[18-65]
NCT00132431,[65 and more]
NCT00134043,[18-65]
NCT00134043,[65 and more]
NCT00135304,[18-65]
NCT00135304,[65 and more]
NCT00145366,[18-65]
NCT00145366,[65 and more]
NCT00147433,[0-17]
NCT00147433,[18-65]
NCT00147433,[65 and more]
NCT00150111,[18-65]
NCT00150111,[65 and more]
NCT00150124,[18-65]
NCT00150124,[65 and more]
NCT00150137,[18-65]
NCT00150137,[65 and more]
NCT00150150,[18-65]
NCT00150150,[65 and more]
NCT00161109,[0-17]
NCT00161109,[18-65]
NCT00174057,[18-65]
NCT00174057,[65 and more]
NCT00175149,[18-65]
NCT00175149,[65 and more]
NCT00189501,[18-65]
NCT00189501,[65 and more]
NCT00209235,[0-17]
NCT00209235,[18-65]
NCT00209235,[65 and more]
NCT00211939,[18-65]
NCT00211939,[65 and more]
NCT00213720,[18-65]
NCT00213720,[65 and more]
NCT00257920,[18-65]
NCT00257920,[65 and more]
NCT00261950,[18-65]
NCT00261950,[65 and more]
NCT00278005,[0-17]
NCT00285467,[18-65]
NCT00285467,[65 and more]
NCT00287144,[0-17]
NCT00287144,[18-65]
NCT00287144,[65 and more]
NCT00287287,[18-65]
NCT00287287,[65 and more]
NCT00288522,[18-65]
NCT00288522,[65 and more]
NCT00288873,[18-65]
NCT00288873,[65 and more]
NCT00297297,[18-65]
NCT00297297,[65 and more]
NCT00307840,[18-65]
NCT00307840,[65 and more]
NCT00316823,[18-65]
NCT00316823,[65 and more]
NCT00322322,[18-65]
NCT00322322,[65 and more]
NCT00325104,[18-65]
NCT00325104,[65 and more]
NCT00335062,[0-17]
NCT00335062,[18-65]
NCT00342641,[0-17]
NCT00342641,[18-65]
NCT00342641,[65 and more]
NCT00345839,[18-65]
NCT00345839,[65 and more]
NCT00348413,[18-65]
NCT00352170,[18-65]
NCT00352170,[65 and more]
NCT00360074,[18-65]
NCT00360074,[65 and more]
NCT00364234,[18-65]
NCT00364234,[65 and more]
NCT00374712,[18-65]
NCT00374712,[65 and more]
NCT00381641,[18-65]
NCT00381641,[65 and more]
NCT00385983,[18-65]
NCT00385983,[65 and more]
NCT00388297,[0-17]
NCT00388297,[18-65]
NCT00388297,[65 and more]
NCT00390325,[18-65]
NCT00390325,[65 and more]
NCT00397475,[18-65]
NCT00397475,[65 and more]
NCT00400465,[0-17]
NCT00400465,[18-65]
NCT00400465,[65 and more]
NCT00415233,[0-17]
NCT00415233,[18-65]
NCT00415233,[65 and more]
NCT00415584,[18-65]
NCT00415584,[65 and more]
NCT00416949,[18-65]
NCT00416949,[65 and more]
NCT00418600,[18-65]
NCT00418600,[65 and more]
NCT00424151,[18-65]
NCT00424151,[65 and more]
NCT00430547,[18-65]
NCT00430547,[65 and more]
NCT00431496,[18-65]
NCT00431496,[65 and more]
NCT00432146,[0-17]
NCT00432146,[18-65]
NCT00432939,[18-65]
NCT00432939,[65 and more]
NCT00437931,[18-65]
NCT00437931,[65 and more]
NCT00439127,[0-17]
NCT00439127,[18-65]
NCT00439127,[65 and more]
NCT00446329,[18-65]
NCT00446329,[65 and more]
NCT00454350,[18-65]
NCT00454350,[65 and more]
NCT00459498,[18-65]
NCT00459498,[65 and more]
NCT00463021,[18-65]
NCT00463021,[65 and more]
NCT00469599,[18-65]
NCT00469599,[65 and more]
NCT00470496,[18-65]
NCT00470496,[65 and more]
NCT00480428,[65 and more]
NCT00498238,[18-65]
NCT00498238,[65 and more]
NCT00505011,[0-17]
NCT00505011,[18-65]
NCT00505011,[65 and more]
NCT00507897,[0-17]
NCT00507897,[18-65]
NCT00507897,[65 and more]
NCT00509483,[18-65]
NCT00509483,[65 and more]
NCT00519896,[18-65]
NCT00519896,[65 and more]
NCT00522028,[18-65]
NCT00522028,[65 and more]
NCT00525135,[18-65]
NCT00525135,[65 and more]
NCT00527085,[18-65]
NCT00527085,[65 and more]
NCT00528502,[0-17]
NCT00528502,[18-65]
NCT00528502,[65 and more]
NCT00528788,[18-65]
NCT00528788,[65 and more]
NCT00531713,[18-65]
NCT00531713,[65 and more]
NCT00535561,[18-65]
NCT00535561,[65 and more]
NCT00537797,[18-65]
NCT00537797,[65 and more]
NCT00537979,[18-65]
NCT00537979,[65 and more]
NCT00552253,[18-65]
NCT00552253,[65 and more]
NCT00556530,[0-17]
NCT00556530,[18-65]
NCT00556530,[65 and more]
NCT00559949,[18-65]
NCT00559949,[65 and more]
NCT00560300,[0-17]
NCT00560300,[18-65]
NCT00571077,[18-65]
NCT00571077,[65 and more]
NCT00571090,[0-17]
NCT00571090,[18-65]
NCT00571090,[65 and more]
NCT00576407,[0-17]
NCT00576407,[18-65]
NCT00576407,[65 and more]
NCT00576836,[0-17]
NCT00576836,[18-65]
NCT00576836,[65 and more]
NCT00579527,[0-17]
NCT00579527,[18-65]
NCT00579527,[65 and more]
NCT00579709,[0-17]
NCT00579709,[18-65]
NCT00579709,[65 and more]
NCT00580320,[18-65]
NCT00580320,[65 and more]
NCT00587158,[18-65]
NCT00587158,[65 and more]
NCT00588432,[18-65]
NCT00588432,[65 and more]
NCT00595335,[18-65]
NCT00595335,[65 and more]
NCT00601328,[18-65]
NCT00639405,[18-65]
NCT00639405,[65 and more]
NCT00646282,[18-65]
NCT00646282,[65 and more]
NCT00651625,[18-65]
NCT00651625,[65 and more]
NCT00654238,[18-65]
NCT00654238,[65 and more]
NCT00664430,[18-65]
NCT00664430,[65 and more]
NCT00665795,[18-65]
NCT00665795,[65 and more]
NCT00667576,[18-65]
NCT00667576,[65 and more]
NCT00674154,[18-65]
NCT00674154,[65 and more]
NCT00677469,[18-65]
NCT00697528,[18-65]
NCT00697528,[65 and more]
NCT00701805,[18-65]
NCT00701805,[65 and more]
NCT00729157,[18-65]
NCT00729157,[65 and more]
NCT00742716,[18-65]
NCT00742716,[65 and more]
NCT00752401,[18-65]
NCT00752401,[65 and more]
NCT00754442,[18-65]
NCT00768820,[0-17]
NCT00768820,[18-65]
NCT00768820,[65 and more]
NCT00781417,[18-65]
NCT00781417,[65 and more]
NCT00782366,[18-65]
NCT00782366,[65 and more]
NCT00784173,[0-17]
NCT00784173,[18-65]
NCT00784173,[65 and more]
NCT00792857,[18-65]
NCT00792857,[65 and more]
NCT00796913,[18-65]
NCT00796913,[65 and more]
NCT00803712,[18-65]
NCT00803712,[65 and more]
NCT00804830,[0-17]
NCT00804830,[18-65]
NCT00804830,[65 and more]
NCT00822289,[18-65]
NCT00822289,[65 and more]
NCT00823303,[18-65]
NCT00823303,[65 and more]
NCT00828347,[18-65]
NCT00828347,[65 and more]
NCT00849888,[0-17]
NCT00858104,[18-65]
NCT00858104,[65 and more]
NCT00859612,[18-65]
NCT00859612,[65 and more]
NCT00877630,[0-17]
NCT00877630,[18-65]
NCT00877630,[65 and more]
NCT00877981,[0-17]
NCT00877981,[18-65]
NCT00877981,[65 and more]
NCT00887107,[18-65]
NCT00887107,[65 and more]
