index,nct_id,location,continent,iso
0,NCT00001159,United States,North America,USA
10,NCT00001277,United States,North America,USA
14,NCT00001394,United States,North America,USA
18,NCT00004048,United States,North America,USA
19,NCT00004074,United States,North America,USA
25,NCT00004089,United States,North America,USA
28,NCT00004340,United States,North America,USA
30,NCT00004351,United States,North America,USA
33,NCT00004660,United States,North America,USA
42,NCT00005102,United States,North America,USA
65,NCT00060242,United States,North America,USA
66,NCT00061906,United States,North America,USA
68,NCT00068497,United States,North America,USA
76,NCT00077103,United States,North America,USA
79,NCT00085293,United States,North America,USA
88,NCT00095693,United States,North America,USA
91,NCT00095836,United States,North America,USA
93,NCT00098813,United States,North America,USA
96,NCT00098852,United States,North America,USA
97,NCT00100828,United States,North America,USA
98,NCT00103155,United States,North America,USA
99,NCT00104871,United States,North America,USA
103,NCT00105274,United States,North America,USA
106,NCT00108394,United States,North America,USA
117,NCT00118248,United States,North America,USA
131,NCT00134043,United States,North America,USA
137,NCT00145366,Denmark,Europe,DNK
140,NCT00147433,United States,North America,USA
142,NCT00150111,Denmark,Europe,DNK
147,NCT00150124,Denmark,Europe,DNK
151,NCT00150137,Denmark,Europe,DNK
154,NCT00150150,Denmark,Europe,DNK
158,NCT00161109,Netherlands,Europe,NLD
158,NCT00161109,United States,North America,USA
161,NCT00174057,Taiwan,East Asia,TWN
177,NCT00209235,United States,North America,USA
181,NCT00213720,France,Europe,FRA
200,NCT00278005,United States,North America,USA
206,NCT00285467,United States,North America,USA
208,NCT00287144,Norway,Europe,NOR
212,NCT00287287,United States,North America,USA
213,NCT00288522,Spain,Europe,ESP
221,NCT00297297,Denmark,Europe,DNK
226,NCT00316823,United States,North America,USA
228,NCT00322322,France,Europe,FRA
231,NCT00325104,United States,North America,USA
232,NCT00335062,United States,North America,USA
241,NCT00342641,United States,North America,USA
245,NCT00348413,Singapore,Southest Asia,SGP
259,NCT00360074,Germany,Europe,DEU
262,NCT00364234,United States,North America,USA
268,NCT00374712,France,Europe,FRA
274,NCT00381641,United States,North America,USA
277,NCT00385983,Brazil,South America,BRA
279,NCT00388297,United States,North America,USA
281,NCT00390325,United States,North America,USA
290,NCT00400465,Thailand,Southest Asia,THA
300,NCT00415233,United Kingdom,Europe,GBR
304,NCT00416949,United States,North America,USA
310,NCT00424151,United States,North America,USA
314,NCT00430547,Australia,Pacifica,AUS
329,NCT00437931,Israel,Middle East,ISR
353,NCT00470496,United States,North America,USA
359,NCT00480428,Kazakhstan,North Asia,KAZ
378,NCT00507897,Russian Federation,North Asia,RUS
385,NCT00519896,United States,North America,USA
393,NCT00525135,United States,North America,USA
403,NCT00531713,Denmark,Europe,DNK
404,NCT00535561,Turkey,Middle East,TUR
407,NCT00537797,United States,North America,USA
415,NCT00552253,Taiwan,East Asia,TWN
423,NCT00556530,United States,North America,USA
425,NCT00559949,Canada,North America,CAN
425,NCT00559949,United States,North America,USA
434,NCT00571077,Israel,Middle East,ISR
434,NCT00571077,United States,North America,USA
436,NCT00571090,Turkey,Middle East,TUR
441,NCT00576407,United States,North America,USA
443,NCT00576836,United States,North America,USA
445,NCT00579527,United States,North America,USA
447,NCT00579709,United States,North America,USA
448,NCT00580320,United States,North America,USA
458,NCT00588432,United States,North America,USA
460,NCT00595335,United States,North America,USA
478,NCT00639405,United States,North America,USA
484,NCT00651625,United States,North America,USA
485,NCT00654238,United States,North America,USA
490,NCT00665795,Brazil,South America,BRA
504,NCT00677469,"Iran, Islamic Republic of",Middle East,IRN
511,NCT00697528,Brazil,South America,BRA
523,NCT00729157,United States,North America,USA
540,NCT00752401,Austria,Europe,AUT
546,NCT00768820,Israel,Middle East,ISR
550,NCT00781417,United States,North America,USA
551,NCT00782366,United States,North America,USA
574,NCT00804830,Sweden,Europe,SWE
592,NCT00858104,Italy,Europe,ITA
595,NCT00859612,United States,North America,USA
596,NCT00877630,China,East Asia,CHN
602,NCT00887107,Netherlands,Europe,NLD
612,NCT00896454,Canada,North America,CAN
612,NCT00896454,France,Europe,FRA
612,NCT00896454,Italy,Europe,ITA
612,NCT00896454,Poland,Europe,POL
612,NCT00896454,United States,North America,USA
614,NCT00902122,China,East Asia,CHN
618,NCT00916955,United States,North America,USA
620,NCT00917189,United States,North America,USA
624,NCT00921050,Mexico,North America,MEX
641,NCT00946296,United States,North America,USA
645,NCT00958113,United States,North America,USA
657,NCT00962221,Israel,Middle East,ISR
687,NCT01005654,United States,North America,USA
701,NCT01039818,Brazil,South America,BRA
708,NCT01056419,Turkey,Middle East,TUR
715,NCT01060982,France,Europe,FRA
727,NCT01083550,Canada,North America,CAN
732,NCT01084356,Israel,Middle East,ISR
738,NCT01089335,Sweden,Europe,SWE
750,NCT01102127,Spain,Europe,ESP
758,NCT01103206,France,Europe,FRA
763,NCT01106443,Canada,North America,CAN
766,NCT01109420,United States,North America,USA
767,NCT01114503,United Kingdom,Europe,GBR
774,NCT01118065,Netherlands,Europe,NLD
777,NCT01127503,United States,North America,USA
790,NCT01137097,"Korea, Republic of",East Asia,KOR
793,NCT01138475,United States,North America,USA
804,NCT01153360,"Korea, Republic of",East Asia,KOR
806,NCT01163565,Canada,North America,CAN
813,NCT01164176,"Korea, Republic of",East Asia,KOR
818,NCT01171690,United States,North America,USA
826,NCT01182285,United States,North America,USA
827,NCT01182584,Taiwan,East Asia,TWN
837,NCT01208051,Canada,North America,CAN
837,NCT01208051,United States,North America,USA
856,NCT01225016,United States,North America,USA
862,NCT01227499,China,East Asia,CHN
868,NCT01228786,India,South Asia,IND
869,NCT01229865,United States,North America,USA
884,NCT01269749,United States,North America,USA
889,NCT01270425,Israel,Middle East,ISR
893,NCT01272414,Canada,North America,CAN
898,NCT01273597,Hungary,Europe,HUN
909,NCT01286753,France,Europe,FRA
909,NCT01286753,Italy,Europe,ITA
909,NCT01286753,Netherlands,Europe,NLD
909,NCT01286753,United States,North America,USA
913,NCT01291498,United Kingdom,Europe,GBR
917,NCT01295333,France,Europe,FRA
922,NCT01297699,Spain,Europe,ESP
931,NCT01306916,United States,North America,USA
933,NCT01307761,Taiwan,East Asia,TWN
935,NCT01308320,"Korea, Republic of",East Asia,KOR
939,NCT01320813,France,Europe,FRA
946,NCT01322165,United States,North America,USA
953,NCT01335802,Denmark,Europe,DNK
954,NCT01335828,France,Europe,FRA
960,NCT01341886,"Iran, Islamic Republic of",Middle East,IRN
972,NCT01369953,United States,North America,USA
986,NCT01382966,Turkey,Middle East,TUR
987,NCT01384786,Denmark,Europe,DNK
991,NCT01395134,Poland,Europe,POL
992,NCT01396733,"Korea, Republic of",East Asia,KOR
995,NCT01398774,United States,North America,USA
1000,NCT01408368,Poland,Europe,POL
1007,NCT01413113,United States,North America,USA
1024,NCT01428167,United States,North America,USA
1028,NCT01436994,United Kingdom,Europe,GBR
1036,NCT01441154,United States,North America,USA
1046,NCT01458600,Sweden,Europe,SWE
1050,NCT01460030,Japan,East Asia,JPN
1056,NCT01465867,Italy,Europe,ITA
1057,NCT01471288,"Iran, Islamic Republic of",Middle East,IRN
