Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,8083316,NCT03530033,OTHER,lead,"Bo Wang,MD",Other
1,8515206,NCT01204359,OTHER,lead,Sun Yat-sen University,University
2,8083283,NCT03530462,OTHER,lead,First Affiliated Hospital of Zhejiang University,Health care Institution
3,8098950,NCT03382158,OTHER,lead,Children's Hospitals and Clinics of Minnesota,Health care Institution
4,8098951,NCT03382158,OTHER,collaborator,Children's National Research Institute,Other
5,8098952,NCT03382158,OTHER,collaborator,Washington University School of Medicine,University
6,8098953,NCT03382158,UNKNOWN,collaborator,"ResourcePath, LLC",Other
7,8098954,NCT03382158,OTHER,collaborator,Beijing Children's Hospital,Health care Institution
8,8098955,NCT03382158,OTHER,collaborator,University of Cambridge,University
9,8098956,NCT03382158,OTHER,collaborator,Emory University,University
10,8098957,NCT03382158,OTHER,collaborator,Dana-Farber Cancer Institute,Health care Institution
11,8114841,NCT03226171,INDUSTRY,lead,"Sanwa Kagaku Kenkyusho Co., Ltd.",Industry
12,8084595,NCT03516773,INDUSTRY,lead,Entera Bio Ltd.,Industry
13,8084515,NCT03517579,OTHER,lead,Johns Hopkins University,University
14,8084546,NCT03517267,OTHER,lead,Rambam Health Care Campus,Other
15,8084598,NCT03516747,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
16,8085380,NCT03510143,OTHER,lead,Seoul National University Hospital,Health care Institution
17,8084714,NCT03515863,OTHER,lead,Sun Yat-sen University,University
18,8084871,NCT03514251,OTHER,lead,"Bo Wang,MD",Other
19,8085381,NCT03510143,INDUSTRY,collaborator,Green Cross Corporation,Other
20,8085845,NCT03506048,OTHER,lead,Emory University,University
21,8381879,NCT03072160,NIH,lead,National Cancer Institute (NCI),Government Agency
22,8248888,NCT04976816,OTHER,lead,Assiut University,University
23,8085846,NCT03506048,INDUSTRY,collaborator,Eisai Inc.,Industry
24,8516572,NCT01220050,OTHER,lead,Mario Negri Institute for Pharmacological Research,Other
25,8086363,NCT03500666,OTHER,lead,Fujian Medical University,University
26,8086597,NCT03498183,OTHER,lead,Nantes University Hospital,Health care Institution
27,8087746,NCT03484416,OTHER,lead,Ewha Womans University Mokdong Hospital,Health care Institution
28,8097820,NCT03393728,OTHER_GOV,lead,Yaounde Central Hospital,Health care Institution
29,8088213,NCT03479801,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
30,8097939,NCT03392402,OTHER,lead,Maria Sklodowska-Curie National Research Institute of Oncology,Other
31,8097585,NCT03395925,INDUSTRY,lead,Olympus Surgical Technologies Europe,Other
32,8086582,NCT03498417,OTHER,lead,University of Pisa,University
33,8086737,NCT03496363,OTHER,lead,Assiut University,University
34,8516724,NCT01221896,OTHER,lead,Hadassah Medical Organization,Other
35,8089081,NCT03470259,OTHER,lead,University Medical Center Groningen,Health care Institution
36,8089082,NCT03470259,OTHER,collaborator,Erasmus Medical Center,Health care Institution
37,8089162,NCT03469310,OTHER,lead,Minerva A Romero Arenas,Other
38,8516735,NCT01222026,OTHER,lead,Medical University of Vienna,University
